date,store,category,units,unit_price,discount_pct,payment_method
2023-12-31,Ikeja,Soil,6,2200,0.05,cash
2023-12-31,Lekki,Other,3,1500,0.2,cash
2023-12-31,Yaba,Tools,2,8000,0,cash
2023-12-31,Yaba,Other,4,1500,0,card
2023-12-31,Surulere,Pots,4,3000,0.1,card
2023-12-31,Surulere,Soil,2,2200,0,transfer
2023-12-31,Surulere,Tools,3,,0,cash
2023-12-31,Ajah,Plants,1,4500,0,transfer
2023-12-31,Ajah,Pots,2,3000,0,card
2023-12-31,Maryland,Other,3,1500,0.1,transfer
2023-12-31,Maryland,Tools,1,8000,0.05,transfer
2023-12-31,Maryland,Soil,0,2200,0,transfer
2024-01-01,Ikeja,Other,2,1500,0.05,cash
2024-01-01,Ikeja,Furniture,4,26000,0,cash
2024-01-01,Lekki,Plants,5,4500,0.05,cash
2024-01-01,Yaba,Tools,1,8000,0,cash
2024-01-01,Yaba,Furniture,4,26000,0.1,card
2024-01-01,Yaba,Furniture,3,26000,0.05,card
2024-01-01,Surulere,Pots,5,3000,0.1,cash
2024-01-01,Surulere,Plants,3,4500,0,card
2024-01-01,Surulere,Furniture,5,26000,0,card
2024-01-01,Ajah,Other,4,1500,0.05,card
2024-01-01,Ajah,Furniture,2,26000,0,cash
2024-01-01,Maryland,Soil,5,2200,0,cash
2024-01-01,Maryland,Other,3,1500,0,cash
2024-01-01,Maryland,Furniture,6,26000,0.05,card
2024-01-02,Ikeja,Furniture,5,26000,0.05,card
2024-01-02,Ikeja,Tools,5,8000,0,card
2024-01-02,Ikeja,Pots,1,3000,0,card
2024-01-02,Lekki,Furniture,5,26000,0,card
2024-01-02,Lekki,Other,4,1500,0.1,card
2024-01-02,Lekki,Plants,3,4500,0.25,cash
2024-01-02,Yaba,Other,4,1500,0,transfer
2024-01-02,Yaba,Soil,1,2200,0,cash
2024-01-02,Surulere,Other,1,1500,0,card
2024-01-02,Surulere,Pots,4,3000,0.05,cash
2024-01-02,Surulere,Other,6,1500,0,card
2024-01-02,Ajah,Tools,3,8000,0,card
2024-01-02,Maryland,Tools,5,8000,0.05,transfer
2024-01-03,Ikeja,Pots,3,3000,0,transfer
2024-01-03,Ikeja,Pots,1,3000,0.1,card
2024-01-03,Ikeja,Soil,3,2200,0.05,cash
2024-01-03,Lekki,Pots,2,3000,0.1,transfer
2024-01-03,Lekki,Other,3,1500,0,card
2024-01-03,Yaba,Pots,4,3000,0,transfer
2024-01-03,Yaba,Plants,3,4500,0,cash
2024-01-03,Yaba,Other,6,1500,0,transfer
2024-01-03,Surulere,Plants,5,4500,0,cash
2024-01-03,Ajah,Pots,5,3000,0.05,cash
2024-01-03,Maryland,Pots,4,3000,0,cash
2024-01-03,Maryland,Other,5,1500,0.1,card
2024-01-03,Marylnd,Pots,1,3000,0,transfer
2024-01-04,Ikeja,Pots,2,3000,0.1,transfer
2024-01-04,Ikeja,Pots,4,3000,0,card
2024-01-04,Lekki,Pots,2,3000,0,cash
2024-01-04,Yaba,Soil,5,2200,0,transfer
2024-01-04,Yaba,Plants,6,4500,0,cash
2024-01-04,Surulere,Soil,6,2200,0.1,transfer
2024-01-04,Ajah,Soil,3,2200,0,cash
2024-01-04,Ajah,Tools,6,8000,0,card
2024-01-04,Ajah,Furniture,1,26000,0,transfer
2024-01-04,Maryland,Pots,6,3000,0,cash
2024-01-05,Ikeja,Pots,5,3000,0,card
2024-01-05,Ikeja,Pots,6,3000,0,cash
2024-01-05,Ikeja,Furniture,5,26000,0.1,cash
2024-01-05,Lekki,Tools,2,8000,0.05,transfer
2024-01-05,Lekki,Tools,3,8000,0.05,transfer
2024-01-05,Yaba,Tools,2,8000,0.1,card
2024-01-05,Surulere,Tools,6,8000,0.05,card
2024-01-05,Surelere,Tools,1,8000,0.1,card
2024-01-05,Ajah,Soil,5,2200,0.05,transfer
2024-01-05,Maryland,Tools,4,8000,0.1,card
2024-01-05,Maryland,Soil,2,2200,0,card
2024-01-06,Ikeja,Plants,3,4500,0,cash
2024-01-06,Ikeja,Tools,4,8000,0,card
2024-01-06,Lekki,Pots,3,3000,0,card
2024-01-06,Yaba,Other,6,1500,0,card
2024-01-06,Yaba,Tools,5,8000,0,card
2024-01-06,Yaba,Pots,4,3000,0.1,cash
2024-01-06,Surulere,Plants,5,4500,0,card
2024-01-06,Surulere,Pots,5,3000,0,card
2024-01-06,Ajah,Furniture,6,26000,0.1,card
2024-01-06,Ajah,Soil,1,2200,0,card
2024-01-06,Maryland,Furniture,5,26000,0,cash
2024-01-06,Maryland,Furniture,4,26000,0.05,card
2024-01-06,Maryland,Tools,5,8000,0,transfer
2024-01-07,Ikeja,Furniture,3,26000,0,cash
2024-01-07,Ikeja,Plants,3,4500,0,transfer
2024-01-07,Lekki,Pots,3,3000,0,cash
2024-01-07,Lekki,Pots,1,3000,0,card
2024-01-07,Lekki,Soil,1,2200,0,card
2024-01-07,Yaba,Soil,1,2200,0.1,transfer
2024-01-07,Yaba,Furniture,5,26000,0,transfer
2024-01-07,Yaba,Plants,6,4500,0,transfer
2024-01-07,Surulere,Soil,6,2200,0.1,transfer
2024-01-07,Surulere,Other,2,1500,0,card
2024-01-07,Surulere,Other,6,1500,0,card
2024-01-07,Ajah,Pots,1,3000,0,card
2024-01-07,Ajah,Soil,5,2200,0.05,transfer
2024-01-07,Maryland,Pots,1,3000,0.05,transfer
2024-01-07,Maryland,Furniture,3,26000,0,card
2024-01-07,Maryland,Pots,2,3000,0,card
2024-01-08,Ikeja,Pots,4,3000,0,card
2024-01-08,Ikeja,Pots,1,3000,0,card
2024-01-08,Ikeja,Other,1,1500,0.05,cash
2024-01-08,Lekki,Tools,4,8000,0,card
2024-01-08,Lekki,Other,0,3000,0,cash
2024-01-08,Yaba,Pots,2,3000,0,cash
2024-01-08,Yaba,Plants,4,4500,0,card
2024-01-08,Yaba,Plants,3,4500,0.1,transfer
2024-01-08,Surulere,Furniture,1,26000,0,cash
2024-01-08,Surulere,Plants,4,4500,0,card
2024-01-08,Ajah,Tools,5,8000,0,cash
2024-01-08,Maryland,Pots,1,3000,0,cash
2024-01-08,Maryland,Soil,6,2200,0,card
2024-01-08,Maryland,Tools,1,8000,0,cash
2024-01-09,Ikeja,Pots,3,3000,0.05,card
2024-01-09,Ikeja,Other,6,1500,0,transfer
2024-01-09,Ikeja,Pots,3,3000,0.1,cash
2024-01-09,Lekki,Furniture,5,26000,0,transfer
2024-01-09,Lekki,Pots,0,8000,0,cash
2024-01-09,Lekki,Furniture,0,4500,0,cash
2024-01-09,Yaba,Other,6,1500,0,card
2024-01-09,Yaba,Furniture,6,26000,0,card
2024-01-09,Yaba,Other,2,1500,0,card
2024-01-09,Surulere,Furniture,6,26000,0.05,card
2024-01-09,Surulere,Plants,3,4500,0,card
2024-01-09,Surulere,Other,1,1500,0.1,cash
2024-01-09,Ajah,Tools,3,8000,0,transfer
2024-01-09,Maryland,Furniture,5,26000,0.05,cash
2024-01-09,Maryland,Soil,6,2200,0,card
2024-01-10,Ikeja,Pots,4,3000,0,card
2024-01-10,Ikeja,Tools,6,8000,0.05,cash
2024-01-10,Lekki,Tools,1,8000,0.05,cash
2024-01-10,Lekki,Tools,3,8000,0.05,card
2024-01-10,Lekki,Plants,1,4500,0.05,cash
2024-01-10,Yaba,Plants,3,4500,0.05,transfer
2024-01-10,Surulere,Tools,5,8000,0,transfer
2024-01-10,Surulere,Pots,2,3000,0,card
2024-01-10,Surulere,Other,6,1500,0.1,cash
2024-01-10,Ajah,Pots,1,3000,0,transfer
