date,platform,post_type,impressions,reach,likes,comments,shares
2024-01-01,Instagram,photo,13945,,267,40,27
2024-01-01,TikTok,carousel,2389,,62,9,6
2024-01-01,LinkedIn,photo,12193,,326,49,33
2024-01-01,X,carousel,37713,,720,108,72
2024-01-02,Instagram,text,26506,,868,130,87
2024-01-02,TikTok,carousel,6728,,234,35,24
2024-01-02,LinkedIn,carousel,29617,,508,76,51
2024-01-02,X,video,3649,,62,9,6
2024-01-03,Instagram,photo,38478,,857,129,85
2024-01-03,TikTok,photo,26225,,711,107,71
2024-01-03,LinkedIn,photo,9239,,288,43,29
2024-01-03,X,video,4907,,112,17,11
2024-01-04,Instagram,text,19605,,778,117,78
2024-01-04,TikTok,carousel,5397,,109,16,11
2024-01-04,LinkedIn,text,16564,,564,85,56
2024-01-04,X,text,34561,,602,90,61
2024-01-05,Instagram,photo,3495,,62,9,7
2024-01-05,TikTok,text,19722,,350,52,35
2024-01-05,LinkedIn,video,20647,,343,51,35
2024-01-05,X,photo,37332,,1042,156,105
2024-01-06,Instagram,video,32996,,1182,177,119
2024-01-06,TikTok,video,31010,,1094,164,110
2024-01-06,LinkedIn,text,29472,,607,91,61
2024-01-06,X,video,6962,,238,36,23
2024-01-07,Instagram,photo,29570,,961,144,96
2024-01-07,TikTok,photo,22779,,668,100,67
2024-01-07,LinkedIn,video,35325,,718,108,71
2024-01-07,X,carousel,7593,,135,20,14
2024-01-08,Instagram,video,4670,,112,17,11
2024-01-08,TikTok,text,21633,,412,62,41
2024-01-08,LinkedIn,photo,36170,,728,109,73
2024-01-08,X,text,5134,,184,28,18
2024-01-09,Instagram,photo,5118,,170,25,17
2024-01-09,TikTok,video,4635,,184,28,18
2024-01-09,LinkedIn,video,19025,,606,91,60
2024-01-09,X,photo,2644,,80,12,8
2024-01-10,Instagram,text,20470,,394,59,39
2024-01-10,TikTok,photo,34682,,847,127,85
2024-01-10,LinkedIn,text,19334,,548,82,55
2024-01-10,X,carousel,23701,,515,77,52
2024-01-11,Instagram,photo,4401,,102,15,10
2024-01-11,TikTok,video,15878,,338,51,33
2024-01-11,LinkedIn,carousel,28344,,484,73,48
2024-01-11,X,video,19780,,755,113,76
2024-01-12,Instagram,photo,10076,,254,38,25
2024-01-12,TikTok,photo,18912,,510,76,51
2024-01-12,LinkedIn,text,14481,,253,38,25
2024-01-12,X,video,5629,,120,18,12
2024-01-13,Instagram,photo,21523,,392,59,39
2024-01-13,TikTok,video,36434,,1328,199,133
2024-01-13,LinkedIn,video,20723,,795,119,80
2024-01-13,X,text,4641,,92,14,9
2024-01-14,Instagram,text,13014,,438,66,43
2024-01-14,TikTok,video,4424,,90,13,9
2024-01-14,LinkedIn,carousel,33975,,1082,162,108
2024-01-14,X,text,32231,,726,109,73
2024-01-15,Instagram,photo,8432,,189,28,19
2024-01-15,TikTok,video,13575,,303,45,31
2024-01-15,LinkedIn,carousel,6445,,247,37,25
2024-01-15,X,video,3209,,104,16,10
2024-01-16,Instagram,carousel,26655,,662,99,67
2024-01-16,TikTok,text,26662,,450,67,45
2024-01-16,LinkedIn,carousel,29020,,593,89,59
2024-01-16,X,photo,19160,,377,57,37
2024-01-17,Instagram,carousel,26920,,758,114,75
2024-01-17,TikTok,carousel,13919,,422,63,43
2024-01-17,LinkedIn,text,10638,,342,51,34
2024-01-17,X,text,9812,,190,29,19
2024-01-18,Instagram,carousel,6211,,246,37,24
2024-01-18,TikTok,video,12413,,286,43,28
2024-01-18,LinkedIn,video,3665,,104,16,10
2024-01-18,X,photo,20416,,762,114,76
2024-01-19,Instagram,photo,20622,,336,50,34
2024-01-19,TikTok,text,33424,,1143,171,115
2024-01-19,LinkedIn,photo,35273,,1235,185,124
2024-01-19,X,photo,5119,,137,21,13
2024-01-20,Instagram,text,16741,,582,87,58
2024-01-20,TikTok,video,7810,,311,47,31
2024-01-20,LinkedIn,text,14806,,437,66,43
2024-01-20,X,video,38342,,1325,199,132
2024-01-21,Instagram,photo,5017,,141,21,14
2024-01-21,TikTok,photo,35394,,921,138,92
2024-01-21,LinkedIn,text,21166,,824,124,82
2024-01-21,X,carousel,32148,,1110,167,111
2024-01-22,Instagram,carousel,5144,,143,21,15
2024-01-22,TikTok,text,26328,,1014,152,102
2024-01-22,LinkedIn,photo,20179,,434,65,44
2024-01-22,X,video,23623,,586,88,58
2024-01-23,Instagram,text,29430,,621,93,62
2024-01-23,TikTok,video,26476,,431,65,43
2024-01-23,LinkedIn,carousel,37976,,1367,205,137
2024-01-23,X,carousel,6252,,184,28,18
2024-01-24,Instagram,carousel,28169,,690,103,69
2024-01-24,TikTok,video,10785,,354,53,36
2024-01-24,LinkedIn,carousel,30364,,819,123,82
2024-01-24,X,photo,27290,,760,114,76
2024-01-25,Instagram,carousel,25024,,932,140,93
2024-01-25,TikTok,photo,18661,,634,95,63
2024-01-25,LinkedIn,video,18204,,342,51,34
2024-01-25,X,photo,19137,,543,81,55
2024-01-26,Instagram,carousel,24400,,462,69,46
2024-01-26,TikTok,photo,23345,,721,108,72
2024-01-26,LinkedIn,carousel,32785,,674,101,67
2024-01-26,X,photo,10716,,234,35,23
2024-01-27,Instagram,carousel,32813,,1145,172,114
2024-01-27,TikTok,carousel,29285,,883,132,89
2024-01-27,LinkedIn,text,23198,,653,98,65
2024-01-27,X,photo,34848,,1072,161,107
2024-01-28,Instagram,video,4271,,75,11,8
2024-01-28,TikTok,photo,17513,,613,92,61
2024-01-28,LinkedIn,photo,29712,,754,113,75
2024-01-28,X,photo,35620,,1398,210,140
2024-01-29,Instagram,photo,13649,,446,67,45
2024-01-29,TikTok,photo,5024,,114,17,11
2024-01-29,LinkedIn,carousel,15148,,507,76,51
2024-01-29,X,text,3771,,69,10,7
2024-01-30,Instagram,carousel,12059,,478,72,47
2024-01-30,TikTok,video,28142,,508,76,51
2024-01-30,LinkedIn,carousel,38256,,646,97,64
2024-01-30,X,video,36062,,833,125,83
2024-01-31,Instagram,video,38232,,1446,217,145
2024-01-31,TikTok,carousel,11902,,278,42,27
2024-01-31,LinkedIn,photo,9087,,258,39,26
2024-01-31,X,photo,14644,,395,59,40
2024-02-01,Instagram,text,11884,,238,36,23
2024-02-01,TikTok,carousel,19424,,374,56,37
2024-02-01,LinkedIn,text,14373,,273,41,27
2024-02-01,X,video,8447,,157,24,15
2024-02-02,Instagram,photo,21102,,457,69,45
2024-02-02,TikTok,carousel,7285,,282,42,28
2024-02-02,LinkedIn,carousel,34895,,1082,162,108
2024-02-02,X,photo,28542,,783,117,79
2024-02-03,Instagram,video,39709,,1053,158,105
2024-02-03,TikTok,text,36898,,890,134,89
2024-02-03,LinkedIn,video,4862,,155,23,16
2024-02-03,X,video,11524,,339,51,34
2024-02-04,Instagram,carousel,24645,,396,59,40
2024-02-04,TikTok,text,29882,,638,96,63
2024-02-04,LinkedIn,photo,23291,,830,125,83
2024-02-04,X,video,30885,,631,95,63
2024-02-05,Instagram,carousel,13340,,255,38,26
