ticket_id,date,location,covers,food,drink,tip,payment
1,2024-01-01,Downtown,5,85,65,17.67,card
2,2024-01-01,Downtown,4,120,24,23.08,card
3,2024-01-01,Downtown,5,70,70,10.8,cash
4,2024-01-01,Downtown,3,90,30,18.96,card
5,2024-01-01,Riverside,3,36,18,16.35,card
6,2024-01-01,Riverside,6,90,60,62.12,card
7,2024-01-01,Riverside,4,108,28,8.8,cash
8,2024-01-01,Airport,6,132,60,12.73,cash
9,2024-01-01,Airport,4,108,44,19.55,card
10,2024-01-01,Airport,2,58,6,7.32,cash
11,2024-01-01,Mall,2,54,24,11.96,card
12,2024-01-01,Mall,5,115,60,14.47,cash
13,2024-01-01,Mall,4,96,44,16.21,cash
14,2024-01-01,Mall,2,46,16,11.08,card
15,2024-01-02,Downtown,2,50,22,10.04,card
16,2024-01-02,Downtown,2,32,18,7.83,card
17,2024-01-02,Downtown,1,15,13,5.4,card
18,2024-01-02,Downtown,6,108,48,20.49,card
19,2024-01-02,Downtown,3,75,42,16.01,card
20,2024-01-02,Downtown,6,156,54,32.82,card
21,2024-01-02,Riverside,3,60,24,28.2,card
22,2024-01-02,Riverside,2,58,8,21.36,card
23,2024-01-02,Riverside,6,168,72,29.7,cash
24,2024-01-02,Airport,6,96,66,19.1,card
25,2024-01-02,Airport,2,28,16,4.79,card
26,2024-01-02,Airport,2,54,12,8.13,cash
27,2024-01-02,Airport,6,156,54,33.88,card
28,2024-01-02,Mall,5,105,60,12.26,cash
29,2024-01-02,Mall,6,138,48,29.49,card
30,2024-01-02,Mall,2,32,28,7.58,card
31,2024-01-02,Mall,1,24,8,6.04,card
32,2024-01-02,Mall,6,84,18,13.86,card
33,2024-01-02,Mall,6,102,48,23.14,card
34,2024-01-03,Downtown,1,21,3,3.35,card
35,2024-01-03,Downtown,5,110,45,9.25,cash
36,2024-01-03,,6,156,54,23.87,card
37,2024-01-03,Downtown,1,28,3,4.22,card
38,2024-01-03,Riverside,3,81,39,39.35,card
39,2024-01-03,Riverside,1,18,8,9.68,card
40,2024-01-03,Riverside,3,42,9,4.05,cash
41,2024-01-03,Riverside,5,95,65,20.58,card
42,2024-01-03,Riverside,6,168,84,14.66,cash
43,2024-01-03,Airport,6,138,66,40.78,card
44,2024-01-03,Airport,1,22,9,-17.76,card
45,2024-01-03,Airport,5,150,25,30.11,card
46,2024-01-03,Mall,3,63,30,10.71,card
47,2024-01-03,Mall,3,39,39,14.61,card
48,2024-01-03,Mall,2,52,10,12.07,card
49,2024-01-04,Downtown,1,21,9,4.23,card
50,2024-01-04,Downtown,2,42,26,8.21,card
51,2024-01-04,Downtown,5,65,45,6.85,cash
52,2024-01-04,Downtown,1,22,5,2.21,cash
53,2024-01-04,,4,80,32,15.55,card
54,2024-01-04,Riverside,6,84,78,22.51,card
55,2024-01-04,Riverside,1,22,5,3.77,card
56,2024-01-04,Riverside,3,87,21,42.63,card
57,2024-01-04,Airport,5,140,25,14.1,cash
58,2024-01-04,,6,114,72,12.07,cash
59,2024-01-04,Airport,5,75,45,16.35,card
60,2024-01-04,Mall,1,18,14,2.87,cash
61,2024-01-04,Mall,3,42,42,9.6,cash
62,2024-01-04,Mall,2,54,18,10.83,card
63,2024-01-04,Mall,3,36,39,7.58,card
64,2024-01-04,Mall,1,19,5,3.35,card
65,2024-01-05,Downtown,2,28,14,5.29,card
66,2024-01-05,Downtown,5,110,20,15.42,cash
67,2024-01-05,Downtown,1,19,11,3.42,cash
68,2024-01-05,Downtown,1,14,4,0.99,cash
69,2024-01-05,Downtown,6,180,72,50.04,card
70,2024-01-05,Downtown,4,68,52,19.1,card
71,2024-01-05,Riverside,5,75,35,13.91,card
72,2024-01-05,Riverside,2,46,20,8.65,card
73,2024-01-05,Riverside,1,20,8,8.06,card
74,2024-01-05,Airport,3,57,12,6.77,cash
75,2024-01-05,Airport,3,78,33,10.67,cash
76,2024-01-05,Airport,3,69,30,12.36,cash
77,2024-01-05,Airport,4,56,56,18.86,card
78,2024-01-05,Airport,3,42,9,8.56,card
79,2024-01-05,Mall,1,27,14,4.45,card
80,2024-01-05,Mall,6,138,54,33.14,card
81,2024-01-05,Mall,5,130,60,26.26,card
82,2024-01-05,Mall,5,80,50,15.98,card
83,2024-01-05,Mall,6,126,72,24.87,card
84,2024-01-05,Mall,2,46,16,11.93,card
85,2024-01-06,Downtown,4,48,32,10.79,card
86,2024-01-06,Downtown,6,96,18,16.4,card
87,2024-01-06,Downtown,2,56,28,8.97,card
88,2024-01-06,Downtown,4,72,44,17.3,card
89,2024-01-06,Riverside,6,96,72,23.05,card
