customer_id,name,city,region,signup_date
1,Customer 1,Ilorin,North Central,2024-09-12
2,Customer 2,Calabar,South South,2024-07-13
3,Customer 3,Lagos,North Central,2024-08-02
4,Customer 4,Abuja,North Central,2024-04-07
5,Customer 5,Kaduna,North West,2024-06-12
6,Customer 6,Lagos,South West,2024-09-20
7,Customer 7,Abeokuta,South West,2024-02-12
8,Customer 8,Kano,North West,2024-02-14
9,Customer 9,Calabar,South South,2024-05-20
10,Customer 10,Calabar,South South,2024-05-10
11,Customer 11,Port Harcourt,South South,2024-04-18
12,Customer 12,Abuja,South South,2024-09-21
13,Customer 13,Port Harcourt,North West,2024-07-18
14,Customer 14,Kaduna,North West,2024-05-04
15,Customer 15,Calabar,South South,2024-06-23
16,Customer 16,Port Harcourt,South South,2024-03-06
17,Customer 17,Abuja,South South,2024-07-09
18,Customer 18,Port Harcourt,South South,2024-02-15
19,Customer 19,Benin,South South,2024-09-05
20,Customer 20,Abeokuta,South West,2024-08-12
21,Customer 21,Ibadan,South West,2024-04-26
22,Customer 22,Calabar,South South,2024-01-16
23,Customer 23,Calabar,North West,2024-09-22
24,Customer 24,Ilorin,South South,2024-07-11
25,Customer 25,Port Harcourt,South South,2024-05-24
26,Customer 26,Ilorin,North Central,2024-02-07
27,Customer 27,Calabar,South South,2024-01-19
28,Customer 28,Enugu,South East,2024-01-19
29,Customer 29,Ilorin,North Central,2024-09-04
30,Customer 30,Benin,South South,2024-06-20
31,Customer 31,Port Harcourt,South South,2024-04-26
32,Customer 32,Ibadan,South West,2024-04-27
33,Customer 33,Abuja,South South,2024-09-05
34,Customer 34,Benin,South South,2024-01-03
35,Customer 35,Ibadan,South West,2024-06-06
36,Customer 36,Lagos,North Central,2024-07-04
37,Customer 37,Abeokuta,South West,2024-06-22
38,Customer 38,Calabar,South South,2024-09-09
39,Customer 39,Lagos,South West,2024-02-25
40,Customer 40,Benin,North West,2024-09-02
41,Customer 41,Onitsha,South West,2024-08-21
42,Customer 42,Ilorin,South South,2024-09-05
43,Customer 43,Calabar,South South,2024-06-27
44,Customer 44,Onitsha,South East,2024-02-04
45,Customer 45,Ilorin,South South,2024-07-10
46,Customer 46,Port Harcourt,South South,2024-01-04
47,Customer 47,Jos,North Central,2024-02-25
48,Customer 48,Kano,North West,2024-01-22
49,Customer 49,Lagos,South West,2024-07-31
50,Customer 50,Jos,North Central,2024-02-05
51,Customer 51,Benin,South South,2024-01-10
52,Customer 52,Lagos,South West,2024-01-14
53,Customer 53,Kano,North West,2024-07-01
54,Customer 54,Enugu,South West,2024-09-27
55,Customer 55,Onitsha,South East,2024-01-13
56,Customer 56,Abeokuta,South West,2024-06-18
57,Customer 57,Ibadan,South West,2024-02-29
58,Customer 58,Ilorin,South South,2024-07-19
59,Customer 59,Kaduna,South East,2024-07-22
60,Customer 60,Enugu,South East,2024-07-10
61,Customer 61,Enugu,South West,2024-08-21
62,Customer 62,Kaduna,North West,2024-01-05
63,Customer 63,Enugu,South East,2024-04-21
64,Customer 64,Kaduna,North West,2024-03-26
65,Customer 65,Lagos,North Central,2024-08-17
66,Customer 66,Lagos,South West,2024-07-03
67,Customer 67,Onitsha,South East,2024-01-18
68,Customer 68,Port Harcourt,South South,2024-04-30
69,Customer 69,Jos,North Central,2024-02-08
70,Customer 70,Jos,North Central,2024-06-21
71,Customer 71,Jos,North Central,2024-09-04
72,Customer 72,Port Harcourt,South South,2024-04-12
73,Customer 73,Benin,North West,2024-09-23
74,Customer 74,Onitsha,South West,2024-09-18
75,Customer 75,Ibadan,South West,2024-04-11
76,Customer 76,Ilorin,North Central,2024-04-25
77,Customer 77,Calabar,South South,2024-02-20
78,Customer 78,Ilorin,South South,2024-09-23
79,Customer 79,Benin,North West,2024-08-22
80,Customer 80,Benin,South South,2024-03-27
81,Customer 81,Onitsha,South East,2024-05-11
82,Customer 82,Ibadan,South West,2024-03-08
83,Customer 83,Port Harcourt,North West,2024-09-22
84,Customer 84,Abuja,South South,2024-07-13
85,Customer 85,Calabar,South South,2024-04-18
86,Customer 86,Kaduna,North West,2024-03-11
87,Customer 87,Calabar,South South,2024-05-24
88,Customer 88,Ilorin,North Central,2024-06-30
89,Customer 89,Port Harcourt,South South,2024-05-04
90,Customer 90,Onitsha,South West,2024-07-10
91,Customer 91,Kaduna,North West,2024-05-20
92,Customer 92,Port Harcourt,South South,2024-07-09
93,Customer 93,Kano,North West,2024-05-31
94,Customer 94,Port Harcourt,South South,2024-08-31
95,Customer 95,Ilorin,North Central,2024-05-13
96,Customer 96,Lagos,South West,2024-09-26
97,Customer 97,Enugu,South East,2024-01-05
98,Customer 98,Lagos,North Central,2024-09-18
99,Customer 99,Abeokuta,South West,2024-06-04
100,Customer 100,Abeokuta,North Central,2024-07-04
101,Customer 101,Enugu,South East,2024-01-08
102,Customer 102,Ibadan,North Central,2024-08-25
103,Customer 103,Ibadan,South West,2024-01-09
104,Customer 104,Enugu,South East,2024-01-03
105,Customer 105,Jos,North Central,2024-04-24
106,Customer 106,Port Harcourt,South South,2024-02-16
107,Customer 107,Ilorin,South South,2024-07-10
108,Customer 108,Kaduna,North West,2024-05-17
109,Customer 109,Abeokuta,North Central,2024-09-14
110,Customer 110,Abuja,North Central,2024-05-10
111,Customer 111,Kano,North West,2024-01-14
112,Customer 112,Onitsha,South East,2024-07-14
113,Customer 113,Ibadan,South West,2024-04-23
114,Customer 114,Kano,North West,2024-02-13
115,Customer 115,Abeokuta,South West,2024-04-26
116,Customer 116,Ilorin,North Central,2024-01-14
117,Customer 117,Jos,South South,2024-08-09
118,Customer 118,Ibadan,South West,2024-07-23
119,Customer 119,Ibadan,South West,2024-01-02
120,Customer 120,Kano,North West,2024-05-08
121,Customer 121,Enugu,South East,2024-04-14
122,Customer 122,Kano,North West,2024-02-21
123,Customer 123,Calabar,South South,2024-08-16
124,Customer 124,Jos,North Central,2024-06-14
125,Customer 125,Onitsha,South East,2024-01-10
126,Customer 126,Abeokuta,North Central,2024-08-14
127,Customer 127,Port Harcourt,South South,2024-05-07
128,Customer 128,Benin,South South,2024-01-24
129,Customer 129,Enugu,South East,2024-05-03
130,Customer 130,Onitsha,South East,2024-02-06
131,Customer 131,Ilorin,North Central,2024-06-19
132,Customer 132,Calabar,South South,2024-06-16
133,Customer 133,Onitsha,South East,2024-04-24
134,Customer 134,Jos,North Central,2024-05-02
135,Customer 135,Kaduna,North West,2024-05-12
136,Customer 136,Benin,South South,2024-02-14
137,Customer 137,Port Harcourt,North West,2024-08-23
138,Customer 138,Onitsha,South East,2024-05-05
139,Customer 139,Ilorin,North Central,2024-03-14
140,Customer 140,Abeokuta,South West,2024-03-20
141,Customer 141,Kano,North West,2024-02-01
142,Customer 142,Jos,North Central,2024-05-15
143,Customer 143,Enugu,South East,2024-04-15
144,Customer 144,Port Harcourt,South South,2024-03-22
145,Customer 145,Onitsha,South East,2024-08-27
146,Customer 146,Ilorin,South South,2024-09-03
147,Customer 147,Enugu,South West,2024-09-25
148,Customer 148,Abuja,North Central,2024-01-03
149,Customer 149,Kano,North West,2024-06-16
150,Customer 150,Abuja,North Central,2024-01-27
151,Customer 151,Enugu,South West,2024-07-04
152,Customer 152,Abeokuta,South West,2024-09-03
153,Customer 153,Jos,North Central,2024-04-16
154,Customer 154,Kaduna,South East,2024-08-21
155,Customer 155,Abuja,North Central,2024-09-23
156,Customer 156,Benin,South South,2024-05-07
157,Customer 157,Ibadan,South West,2024-01-06
158,Customer 158,Kaduna,North West,2024-08-02
