order_id,product_id,qty,unit_price
1,P05,1,180
1,P01,4,89
2,P01,1,89
2,P03,1,45
2,P01,2,89
3,P01,1,89
3,P05,4,180
3,P02,3,240
4,P03,3,45
4,P07,3,18
5,P03,1,45
5,P07,2,18
6,P06,2,60
6,P02,1,240
6,P07,2,18
7,P03,4,45
8,P01,2,89
8,P06,1,60
9,P06,2,60
9,P01,1,89
9,P01,1,89
10,P05,1,180
10,P06,3,60
11,P05,2,180
11,P02,4,240
11,P03,1,45
12,P04,2,30
13,P04,2,30
14,P01,3,89
14,P02,2,240
14,P04,2,30
15,P04,4,30
15,P05,1,180
15,P01,2,89
16,P04,4,30
16,P04,4,30
17,P02,3,240
17,P07,2,18
18,P04,3,30
19,P04,3,30
19,P03,1,45
19,P07,4,18
20,P06,3,60
21,P05,3,180
22,P07,1,18
23,P05,3,180
23,P06,1,60
23,P07,2,18
24,P03,4,45
25,P04,4,30
26,P05,1,180
26,P02,1,240
27,P07,2,18
27,P01,1,89
27,P02,3,240
28,P06,3,60
28,P03,1,45
28,P02,1,240
29,P05,1,180
30,P02,1,240
30,P01,3,89
30,P03,4,45
31,P04,4,30
31,P05,3,180
31,P07,1,18
32,P05,1,180
32,P03,2,45
33,P04,1,30
33,P07,1,18
33,P04,2,30
34,P07,3,18
35,P02,2,240
35,P04,1,30
36,P04,1,30
36,P06,3,60
36,P06,1,60
37,P03,3,45
37,P07,2,18
38,P03,4,45
39,P03,3,45
39,P07,2,18
39,P06,2,60
40,P05,3,180
40,P07,1,18
40,P03,3,45
41,P05,2,180
42,P06,4,60
43,P05,1,180
44,P07,1,18
44,P01,3,89
44,P07,1,18
45,P06,4,60
46,P07,2,18
46,P01,4,89
46,P04,3,30
47,P04,1,30
47,P02,1,240
48,P05,1,180
49,P03,1,45
49,P05,2,180
49,P02,1,240
50,P06,1,60
51,P05,2,180
51,P04,1,30
51,P02,1,240
52,P06,4,60
53,P01,4,89
53,P04,4,30
54,P07,4,18
54,P03,2,45
54,P05,3,180
55,P03,3,45
55,P01,1,89
56,P01,3,89
57,P04,2,30
57,P04,4,30
57,P03,2,45
58,P04,2,30
59,P04,2,30
59,P07,2,18
60,P01,2,89
61,P06,4,-60
61,P07,3,18
62,P02,3,240
62,P07,3,18
62,P02,4,240
63,P03,4,45
64,P01,1,89
65,P04,3,30
65,P01,4,89
66,P06,2,60
