user_id,date,type,amount
1,2024-04-02,withdraw,385
1,2024-04-04,bill,291
1,2024-04-13,transfer,374
1,2024-04-17,bill,715
1,2024-04-25,bill,532
1,2024-04-27,bill,871
1,2024-05-02,topup,366
1,2024-05-08,transfer,813
1,2024-05-16,withdraw,612
1,2024-05-26,transfer,377
1,2024-05-29,withdraw,51
1,2024-06-04,withdraw,228
1,2024-06-13,transfer,621
1,2024-06-21,transfer,694
1,2024-06-25,transfer,481
1,2024-07-07,bill,178
1,2024-07-13,withdraw,763
1,2024-07-16,bill,71
1,2024-07-18,bill,441
1,2024-07-21,withdraw,706
1,2024-08-02,bill,292
2,2024-02-25,topup,717
2,2024-02-29,bill,788
2,2024-03-05,withdraw,53
2,2024-03-11,bill,49
2,2024-03-23,transfer,737
2,2024-03-31,withdraw,832
2,2024-04-11,bill,715
2,2024-04-17,topup,556
2,2024-04-21,topup,124
2,2024-04-24,transfer,376
2,2024-05-03,withdraw,324
2,2024-05-11,bill,49
3,2024-07-10,topup,536
3,2024-07-21,topup,149
3,2024-07-26,withdraw,740
3,2024-08-01,bill,266
3,2024-08-06,bill,657
3,2024-08-14,topup,734
3,2024-08-22,withdraw,890
3,2024-08-29,transfer,370
3,2024-08-31,bill,565
3,2024-09-12,transfer,269
3,2024-09-17,topup,838
3,2024-09-24,topup,623
3,2024-10-03,topup,348
3,2024-10-09,withdraw,538
3,2024-10-18,transfer,406
3,2024-10-22,transfer,792
3,2024-10-28,transfer,194
3,2024-11-09,transfer,840
3,2024-11-16,topup,682
3,2024-11-26,bill,399
3,2024-11-28,withdraw,469
3,2024-12-04,bill,101
3,2024-12-15,transfer,91
3,2024-12-26,topup,883
4,2024-01-22,withdraw,595
4,2024-01-26,topup,813
4,2024-02-07,bill,214
4,2024-02-15,bill,539
4,2024-02-17,withdraw,673
4,2024-02-28,bill,208
4,2024-03-07,withdraw,860
4,2024-03-18,topup,506
4,2024-03-25,withdraw,426
4,2024-03-30,transfer,719
4,2024-04-04,transfer,518
4,2024-04-13,transfer,487
4,2024-04-21,topup,261
4,2024-04-26,bill,463
4,2024-05-05,topup,871
4,2024-05-17,withdraw,287
4,2024-05-21,transfer,166
4,2024-06-01,topup,9
4,2024-06-08,withdraw,134
4,2024-06-19,topup,750
4,2024-06-24,topup,123
4,2024-07-05,withdraw,549
4,2024-07-11,bill,775
4,2024-07-23,withdraw,181
4,2024-07-25,topup,713
4,2024-07-28,topup,478
4,2024-07-30,transfer,357
4,2024-08-04,topup,414
4,2024-08-10,bill,262
4,2024-08-13,withdraw,575
4,2024-08-15,bill,17
4,2024-08-19,topup,555
4,2024-08-31,transfer,336
4,2024-09-08,bill,419
4,2024-09-17,transfer,851
4,2024-09-28,bill,564
4,2024-09-30,topup,247
4,2024-10-09,bill,236
4,2024-10-21,transfer,777
4,2024-11-02,topup,326
4,2024-11-04,topup,881
4,2024-11-06,topup,210
4,2024-11-16,topup,217
4,2024-11-26,transfer,696
4,2024-12-01,topup,754
4,2024-12-12,bill,290
4,2024-12-17,topup,53
4,2024-12-22,topup,676
4,2024-12-27,bill,593
5,2024-07-05,transfer,48
5,2024-07-15,bill,704
5,2024-07-27,topup,865
5,2024-08-08,bill,582
5,2024-08-13,withdraw,817
5,2024-08-19,transfer,377
5,2024-08-25,bill,122
5,2024-08-30,topup,799
5,2024-09-04,transfer,25
5,2024-09-11,bill,232
5,2024-09-13,bill,752
5,2024-09-20,bill,29
5,2024-09-28,transfer,358
5,2024-10-03,transfer,702
5,2024-10-10,transfer,400
5,2024-10-18,bill,32
5,2024-10-25,transfer,17
5,2024-11-02,transfer,126
5,2024-11-07,bill,530
5,2024-11-19,bill,170
5,2024-11-24,topup,688
5,2024-12-05,bill,720
5,2024-12-13,withdraw,449
5,2024-12-24,withdraw,213
5,2024-12-28,bill,447
6,2024-04-04,topup,598
6,2024-04-06,withdraw,723
6,2024-04-18,transfer,893
6,2024-04-22,withdraw,857
6,2024-04-24,topup,328
6,2024-05-03,transfer,802
6,2024-05-05,withdraw,151
6,2024-05-16,topup,795
6,2024-05-25,transfer,537
6,2024-06-05,withdraw,192
6,2024-06-10,transfer,514
6,2024-06-19,topup,43
6,2024-06-24,topup,157
6,2024-07-06,transfer,654
6,2024-07-11,withdraw,263
6,2024-07-19,bill,775
6,2024-07-24,withdraw,424
6,2024-07-30,withdraw,582
6,2024-08-01,topup,382
6,2024-08-08,withdraw,650
6,2024-08-13,withdraw,511
