user_id,signup_date,plan,acquisition,app_version
1,2024-03-27,plus,paid,3.2
2,2024-02-13,free,paid,3.2
3,2024-07-05,pro,paid,3.0
4,2024-01-11,free,paid,3.1
5,2024-06-23,free,paid,3.1
6,2024-03-27,free,paid,3.1
7,2024-05-13,free,organic,3.1
8,2024-01-28,free,referral,3.0
9,2024-04-25,plus,organic,3.2
10,2024-03-15,free,paid,3.0
11,2024-04-25,free,referral,3.1
12,2024-06-30,plus,organic,3.1
13,2024-06-27,pro,organic,3.0
14,2024-06-08,free,referral,3.0
15,2024-03-19,free,referral,3.1
16,2024-05-04,pro,referral,3.0
17,2024-03-09,free,organic,3.1
18,2024-06-13,pro,organic,3.1
19,2024-02-28,plus,referral,3.0
20,2024-01-10,pro,organic,3.0
21,2024-06-26,free,referral,3.1
22,2024-03-01,free,paid,3.2
23,2024-05-24,pro,paid,3.1
24,2024-01-30,free,referral,3.0
25,2024-01-25,plus,referral,3.2
26,2024-07-06,plus,referral,3.0
27,2024-01-14,free,paid,3.1
28,2024-03-17,plus,paid,3.1
29,2024-07-07,plus,paid,3.1
30,2024-04-18,free,referral,3.1
31,2024-04-25,free,paid,3.0
32,2024-07-17,pro,referral,3.1
33,2024-03-02,free,organic,3.1
34,2024-01-10,pro,referral,3.1
35,2024-01-11,free,paid,3.1
36,2024-01-05,pro,referral,3.0
37,2024-06-18,free,organic,3.1
38,2024-05-09,free,organic,3.1
39,2024-02-08,free,referral,3.1
40,2024-04-09,pro,paid,3.2
41,2024-04-03,pro,organic,3.1
42,2024-03-28,plus,organic,3.0
43,2024-06-19,pro,paid,3.1
44,2024-02-27,free,referral,3.0
45,2024-01-25,plus,paid,3.1
46,2024-01-30,free,organic,3.1
47,2024-03-07,pro,paid,3.0
48,2024-04-12,pro,organic,3.2
49,2024-04-08,free,paid,3.1
50,2024-01-01,pro,referral,3.1
51,2024-03-17,free,referral,3.1
52,2024-05-06,plus,organic,3.0
53,2024-02-19,free,organic,3.1
54,2024-06-04,plus,organic,3.0
55,2024-05-28,free,organic,3.2
56,2024-07-17,free,referral,3.2
57,2024-02-21,plus,organic,3.1
58,2024-05-18,free,organic,3.1
59,2024-03-14,free,paid,3.0
60,2024-04-23,plus,referral,3.1
61,2024-05-01,free,paid,3.2
62,2024-07-12,free,organic,3.0
63,2024-01-30,free,paid,3.0
64,2024-05-08,free,organic,3.0
65,2024-02-13,free,organic,3.1
66,2024-07-18,free,paid,3.2
67,2024-06-11,plus,organic,3.1
68,2024-04-21,free,organic,3.0
69,2024-02-24,plus,organic,3.0
70,2024-06-07,plus,paid,3.1
71,2024-06-21,pro,organic,3.1
72,2024-06-07,free,referral,3.2
73,2024-05-03,free,paid,3.1
74,2024-05-11,free,organic,3.0
75,2024-06-01,free,paid,3.1
76,2024-03-28,free,referral,3.2
77,2024-07-12,free,organic,3.1
78,2024-01-08,free,organic,3.1
79,2024-02-03,free,referral,3.2
80,2024-05-24,free,referral,3.1
81,2024-06-11,free,paid,3.1
82,2024-01-25,plus,referral,3.1
83,2024-05-16,pro,organic,3.1
84,2024-06-22,free,paid,3.2
85,2024-05-02,free,referral,3.2
86,2024-05-11,plus,organic,3.1
87,2024-05-04,free,paid,3.1
88,2024-02-04,pro,paid,3.1
89,2024-06-25,plus,paid,3.1
90,2024-07-14,pro,paid,3.1
91,2024-04-24,free,organic,3.0
92,2024-07-03,free,organic,3.1
93,2024-05-05,plus,referral,3.1
94,2024-02-06,free,paid,3.0
95,2024-05-18,free,referral,3.2
96,2024-05-24,free,organic,3.0
97,2024-04-06,free,paid,3.1
98,2024-06-19,pro,paid,3.1
99,2024-07-17,free,organic,3.2
100,2024-06-09,free,referral,3.1
101,2024-03-12,free,organic,3.0
102,2024-05-21,free,referral,3.1
103,2024-04-18,free,organic,3.1
104,2024-04-06,pro,referral,3.0
105,2024-04-12,free,organic,3.0
106,2024-03-04,free,paid,3.1
107,2024-01-11,free,referral,3.1
108,2024-07-05,pro,organic,3.1
109,2024-02-22,plus,referral,3.1
110,2024-03-14,free,referral,3.0
111,2024-03-27,free,referral,3.0
112,2024-03-31,free,referral,3.0
113,2024-04-26,plus,organic,3.0
114,2024-06-07,free,referral,3.1
115,2024-06-11,plus,referral,3.0
116,2024-05-03,plus,organic,3.0
117,2024-06-18,free,referral,3.2
118,2024-02-07,free,organic,3.0
119,2024-03-27,plus,paid,3.0
120,2024-03-21,plus,organic,3.1
121,2024-02-01,free,paid,3.1
122,2024-03-19,pro,organic,3.1
123,2024-05-28,plus,organic,3.1
124,2024-07-18,plus,organic,3.1
125,2024-01-01,free,referral,3.1
126,2024-01-15,free,paid,3.1
127,2024-05-28,plus,organic,3.0
128,2024-03-29,free,organic,3.2
129,2024-04-24,free,organic,3.1
130,2024-05-20,free,paid,3.1
131,2024-01-07,plus,referral,3.0
132,2024-02-11,plus,organic,3.2
133,2024-07-04,free,paid,3.0
134,2024-04-07,pro,organic,3.2
135,2024-07-04,free,paid,3.1
136,2024-07-03,free,paid,3.1
137,2024-01-10,pro,paid,3.0
138,2024-05-22,free,referral,3.1
139,2024-05-07,plus,paid,3.0
140,2024-04-01,free,referral,3.1
141,2024-06-02,free,organic,3.1
142,2024-04-02,pro,paid,3.2
143,2024-03-09,free,referral,3.2
144,2024-04-19,free,referral,3.1
145,2024-06-30,free,paid,3.1
146,2024-05-21,pro,organic,3.2
147,2024-05-07,free,referral,3.0
148,2024-02-10,free,referral,3.1
149,2024-02-10,free,paid,3.2
150,2024-01-08,free,organic,3.2
151,2024-05-10,free,referral,3.1
152,2024-05-28,free,organic,3.0
153,2024-05-20,free,paid,3.0
154,2024-05-15,plus,paid,3.1
155,2024-06-25,free,referral,3.1
156,2024-02-03,free,organic,3.1
157,2024-05-27,free,paid,3.1
158,2024-05-11,plus,referral,3.1
159,2024-05-18,free,paid,3.1
160,2024-04-05,pro,organic,3.1
161,2024-01-21,free,paid,3.1
162,2024-07-12,free,organic,3.1
163,2024-01-29,free,organic,3.1
164,2024-02-07,free,organic,3.2
165,2024-02-26,free,paid,3.1
166,2024-04-15,pro,referral,3.0
167,2024-07-18,free,organic,3.2
168,2024-01-20,plus,paid,3.0
169,2024-07-14,pro,organic,3.0
170,2024-04-12,free,paid,3.1
171,2024-05-19,free,referral,3.1
172,2024-03-15,free,referral,3.1
173,2024-01-24,free,organic,3.0
174,2024-05-10,free,organic,3.0
175,2024-07-07,pro,paid,3.1
176,2024-06-30,free,paid,3.0
177,2024-06-17,plus,referral,3.2
178,2024-03-07,plus,referral,3.2
179,2024-06-22,free,paid,3.2
180,2024-06-06,pro,paid,3.0
181,2024-03-10,plus,organic,3.2
182,2024-03-08,free,paid,3.1
183,2024-04-02,free,referral,3.1
184,2024-03-06,free,organic,3.1
185,2024-06-25,pro,referral,3.1
186,2024-05-01,plus,referral,3.2
187,2024-04-02,free,organic,3.1
188,2024-06-08,free,paid,3.1
189,2024-07-08,pro,paid,3.0
190,2024-02-20,free,organic,3.1
191,2024-01-14,plus,organic,3.1
192,2024-01-23,plus,paid,3.0
193,2024-06-02,free,referral,3.1
194,2024-03-30,plus,referral,3.1
195,2024-03-10,free,organic,3.0
196,2024-05-05,pro,organic,3.1
197,2024-03-28,pro,paid,3.0
198,2024-01-07,free,referral,3.1
199,2024-05-16,free,organic,3.1
200,2024-03-11,free,organic,3.0
201,2024-02-07,free,referral,3.1
202,2024-04-04,free,organic,3.0
203,2024-05-31,free,paid,3.0
204,2024-02-10,free,paid,3.1
205,2024-02-23,free,paid,3.0
206,2024-02-29,free,paid,3.1
207,2024-06-19,free,paid,3.0
208,2024-04-17,free,referral,3.0
209,2024-05-14,plus,referral,3.2
210,2024-04-14,free,organic,3.1
211,2024-02-21,free,referral,3.1
212,2024-05-13,free,referral,3.1
213,2024-01-23,pro,organic,3.2
