delivery_id,depot,driver_id,dispatch_ts,arrival_ts,distance_km,parcels
1000,South,67,2024-02-19T14:00,2024-02-19T14:36,50,10
1001,South,117,2024-05-31T14:00,2024-05-31T15:55,32,7
1002,South,19,2024-01-07T09:00,2024-01-07T10:59,2,3
1003,South,96,2024-02-15T08:00,2024-02-15T07:48,49,9
1004,South,12,2024-03-28T09:00,2024-03-28T09:39,5,8
1005,East,26,2024-01-11T14:00,2024-01-11T14:35,29,2
1006,South,30,2024-06-03T09:00,2024-06-03T10:55,26,11
1007,East,115,2024-02-05T07:00,2024-02-05T09:06,39,8
1008,North,107,2024-06-16T11:00,2024-06-16T11:42,34,9
1009,East,28,2024-05-20T10:00,2024-05-20T12:05,60,1
1010,North,81,2024-06-15T08:00,2024-06-15T10:44,42,9
1011,East,86,2024-01-23T13:00,2024-01-23T15:40,15,6
1012,South,64,2024-01-09T10:00,2024-01-09T11:55,19,11
1013,North,63,2024-07-08T15:00,2024-07-08T17:49,54,6
1014,South,16,2024-04-10T08:00,2024-04-10T08:20,47,8
1015,East,25,2024-05-26T14:00,2024-05-26T14:27,35,7
1016,East,98,2024-06-25T09:00,2024-06-25T11:32,24,11
1017,North,63,2024-06-19T06:00,2024-06-19T07:36,23,4
1018,South,41,2024-03-30T08:00,2024-03-30T10:24,27,11
1019,South,105,2024-06-21T10:00,2024-06-21T09:34,4,5
1020,South,84,2024-06-14T07:00,2024-06-14T09:00,42,5
1021,North,108,2024-04-09T07:00,2024-04-09T08:55,26,3
1022,West,47,2024-01-07T10:00,2024-01-07T11:49,19,8
1023,East,53,2024-04-13T09:00,2024-04-13T10:28,19,10
1024,North,49,2024-04-22T14:00,2024-04-22T15:12,31,9
1025,West,41,2024-03-18T09:00,2024-03-18T11:31,56,6
1026,South,120,2024-05-27T13:00,2024-05-27T13:28,2,7
1027,West,118,2024-05-15T12:00,2024-05-15T13:59,15,8
1028,North,17,2024-05-03T13:00,2024-05-03T13:34,15,5
1029,West,88,2024-06-22T08:00,2024-06-22T10:50,15,2
1030,East,97,2024-04-28T07:00,2024-04-28T07:58,8,5
1031,North,102,2024-02-15T10:00,2024-02-15T11:36,25,2
1032,North,22,2024-05-30T15:00,2024-05-30T15:29,56,12
1033,South,115,2024-05-29T14:00,2024-05-29T14:49,22,8
1034,South,10,2024-02-10T06:00,2024-02-10T08:04,10,11
1035,West,34,2024-01-21T08:00,2024-01-21T10:22,28,5
1036,South,63,2024-02-25T14:00,2024-02-25T14:45,14,11
1037,East,28,2024-05-25T08:00,2024-05-25T08:22,45,9
1038,North,3,2024-04-07T16:00,2024-04-07T16:26,38,9
1039,West,81,2024-01-30T06:00,2024-01-30T07:49,33,3
1040,North,14,2024-06-26T12:00,2024-06-26T12:51,44,10
1041,South,43,2024-04-25T06:00,2024-04-25T08:09,21,8
1042,South,116,2024-06-20T06:00,2024-06-20T06:35,60,12
1043,South,105,2024-04-24T10:00,2024-04-24T12:12,8,11
1044,West,32,2024-07-06T13:00,2024-07-06T15:42,59,6
1045,North,53,2024-01-04T10:00,2024-01-04T11:31,5,10
1046,South,59,2024-05-26T07:00,2024-05-26T07:22,17,5
1047,South,59,2024-01-01T12:00,2024-01-01T14:10,59,8
1048,North,80,2024-04-24T15:00,2024-04-24T15:52,21,5
1049,South,30,2024-07-14T07:00,2024-07-14T07:58,47,3
1050,West,30,2024-01-19T07:00,2024-01-19T07:26,56,7
1051,West,63,2024-05-12T16:00,2024-05-12T16:21,58,8
1052,West,39,2024-04-27T16:00,2024-04-27T18:46,46,11
1053,East,113,2024-03-10T12:00,2024-03-10T13:35,36,10
1054,North,34,2024-05-12T13:00,2024-05-12T13:24,25,12
1055,South,21,2024-04-29T15:00,2024-04-29T15:33,22,11
1056,North,81,2024-06-14T15:00,2024-06-14T16:23,49,9
1057,East,71,2024-06-13T16:00,2024-06-13T17:00,29,3
1058,North,105,2024-06-17T08:00,2024-06-17T10:33,5,11
1059,North,52,2024-06-15T07:00,2024-06-15T08:07,50,4
1060,North,21,2024-02-25T08:00,2024-02-25T09:59,45,4
1061,South,78,2024-02-01T10:00,2024-02-01T11:19,11,10
1062,North,64,2024-04-08T10:00,2024-04-08T12:37,18,8
1063,North,96,2024-05-29T07:00,2024-05-29T09:55,35,2
1064,North,87,2024-02-21T16:00,2024-02-21T17:39,16,12
1065,East,99,2024-01-07T08:00,2024-01-07T08:21,37,12
1066,South,59,2024-02-11T08:00,2024-02-11T08:40,11,1
1067,South,106,2024-04-09T10:00,2024-04-09T09:22,43,11
1068,East,9,2024-07-09T09:00,2024-07-09T11:54,51,4
1069,North,82,2024-01-26T11:00,2024-01-26T11:56,51,3
1070,North,68,2024-06-22T08:00,2024-06-22T08:36,3,8
1071,South,55,2024-06-18T08:00,2024-06-18T10:02,15,8
1072,North,75,2024-04-26T13:00,2024-04-26T15:02,48,10
1073,East,24,2024-02-05T16:00,2024-02-05T18:49,55,2
1074,West,90,2024-01-06T10:00,2024-01-06T10:35,28,12
1075,North,78,2024-02-17T14:00,2024-02-17T16:38,30,9
1076,North,112,2024-01-24T07:00,2024-01-24T08:17,8,3
1077,East,37,2024-03-22T15:00,2024-03-22T15:43,4,11
1078,East,22,2024-04-12T10:00,2024-04-12T12:27,8,3
1079,South,120,2024-06-10T11:00,2024-06-10T10:19,19,1
1080,North,12,2024-03-11T08:00,2024-03-11T08:30,9,9
1081,South,46,2024-04-11T06:00,2024-04-11T07:40,45,9
1082,North,110,2024-02-03T14:00,2024-02-03T15:50,46,6
1083,North,66,2024-01-30T10:00,2024-01-30T11:13,58,10
1084,West,106,2024-05-09T07:00,2024-05-09T07:31,44,12
1085,South,43,2024-03-02T09:00,2024-03-02T10:23,51,7
1086,East,108,2024-05-22T13:00,2024-05-22T14:38,38,1
1087,West,3,2024-05-01T16:00,2024-05-01T17:43,13,1
1088,East,115,2024-07-04T06:00,2024-07-04T06:38,21,6
1089,North,61,2024-05-22T12:00,2024-05-22T13:29,48,9
1090,South,4,2024-07-18T11:00,2024-07-18T13:58,16,7
1091,East,119,2024-03-28T11:00,2024-03-28T13:56,36,4
1092,North,54,2024-05-03T12:00,2024-05-03T14:12,30,9
1093,East,46,2024-01-28T11:00,2024-01-28T12:01,27,2
1094,South,110,2024-05-07T06:00,2024-05-07T06:32,28,11
1095,South,4,2024-03-22T06:00,2024-03-22T08:13,2,9
1096,South,81,2024-01-20T11:00,2024-01-20T12:29,14,1
1097,North,39,2024-04-18T07:00,2024-04-18T09:07,3,4
1098,West,25,2024-07-18T16:00,2024-07-18T18:30,7,10
1099,West,96,2024-02-06T07:00,2024-02-06T07:25,27,12
1100,East,37,2024-01-27T12:00,2024-01-27T14:37,24,10
1101,North,18,2024-03-03T08:00,2024-03-03T09:33,25,12
