session_id,date,device,step,ts_offset_s
1,2024-05-02,android,view,0
1,2024-05-02,android,cart,17
1,2024-05-02,android,checkout,78
2,2024-02-10,ios,view,0
2,2024-02-10,ios,cart,45
2,2024-02-10,ios,checkout,26
3,2024-08-26,ios,view,0
4,2024-01-30,android,view,0
5,2024-01-04,android,view,0
5,2024-01-04,android,cart,73
5,2024-01-04,android,checkout,132
6,2024-04-14,ios,view,0
6,2024-04-14,ios,cart,36
7,2024-02-13,ios,view,0
8,2024-02-23,ios,view,0
9,2024-07-03,web,view,0
9,2024-07-03,web,cart,55
9,2024-07-03,web,checkout,30
10,2024-05-02,ios,view,0
10,2024-05-02,ios,cart,59
11,2024-05-22,web,view,0
11,2024-05-22,web,cart,63
12,2024-01-15,web,view,0
13,2024-07-12,ios,view,0
14,2024-08-09,ios,view,0
14,2024-08-09,ios,cart,64
14,2024-08-09,ios,checkout,76
15,2024-03-27,ios,view,0
15,2024-03-27,ios,cart,44
16,2024-01-26,android,view,0
16,2024-01-26,android,cart,12
17,2024-06-04,ios,view,0
18,2024-04-11,ios,view,0
18,2024-04-11,ios,cart,11
19,2024-05-20,android,view,0
20,2024-08-19,web,view,0
20,2024-08-19,web,cart,83
21,2024-07-09,web,view,0
21,2024-07-09,web,cart,80
22,2024-01-03,android,view,0
23,2024-08-06,web,view,0
23,2024-08-06,web,cart,48
23,2024-08-06,web,checkout,50
24,2024-03-10,android,view,0
25,2024-07-04,android,view,0
26,2024-05-06,android,view,0
27,2024-08-10,android,view,0
28,2024-02-01,web,view,0
28,2024-02-01,web,cart,47
29,2024-04-12,web,view,0
29,2024-04-12,web,cart,13
30,2024-03-06,web,view,0
31,2024-02-10,ios,view,0
31,2024-02-10,ios,cart,74
31,2024-02-10,ios,checkout,106
32,2024-06-26,ios,view,0
32,2024-06-26,ios,cart,84
33,2024-01-07,ios,view,0
34,2024-06-30,android,view,0
35,2024-01-27,android,view,0
36,2024-08-25,web,view,0
37,2024-02-20,android,view,0
38,2024-04-14,android,view,0
39,2024-03-15,ios,view,0
39,2024-03-15,ios,cart,71
40,2024-07-20,ios,view,0
40,2024-07-20,ios,cart,65
41,2024-06-15,ios,view,0
41,2024-06-15,ios,cart,48
42,2024-08-01,web,view,0
42,2024-08-01,web,cart,15
43,2024-04-17,android,view,0
44,2024-04-02,android,view,0
44,2024-04-02,android,cart,52
44,2024-04-02,android,checkout,26
45,2024-04-11,web,view,0
45,2024-04-11,web,cart,10
46,2024-01-28,ios,view,0
46,2024-01-28,ios,cart,43
47,2024-06-03,ios,view,0
48,2024-03-01,ios,view,0
49,2024-05-07,android,view,0
49,2024-05-07,android,cart,41
50,2024-07-02,ios,view,0
50,2024-07-02,ios,cart,23
51,2024-07-08,web,view,0
51,2024-07-08,web,cart,14
52,2024-03-20,web,view,0
52,2024-03-20,web,cart,81
53,2024-03-22,ios,view,0
53,2024-03-22,ios,cart,20
53,2024-03-22,ios,checkout,48
54,2024-05-15,web,view,0
54,2024-05-15,web,cart,28
54,2024-05-15,web,checkout,148
55,2024-03-24,web,view,0
55,2024-03-24,web,cart,82
55,2024-03-24,web,checkout,68
56,2024-03-15,web,view,0
56,2024-03-15,web,cart,63
57,2024-05-01,android,view,0
58,2024-03-08,android,view,0
59,2024-03-30,android,view,0
59,2024-03-30,android,cart,23
59,2024-03-30,android,checkout,178
60,2024-05-05,android,view,0
61,2024-08-28,android,view,0
61,2024-08-28,android,cart,89
61,2024-08-28,android,checkout,148
62,2024-05-20,android,view,0
62,2024-05-20,android,cart,89
63,2024-04-09,android,view,0
64,2024-07-12,ios,view,0
65,2024-05-10,ios,view,0
66,2024-03-03,android,view,0
66,2024-03-03,android,cart,87
67,2024-08-13,android,view,0
68,2024-08-14,ios,view,0
69,2024-05-09,ios,view,0
70,2024-02-15,android,view,0
70,2024-02-15,android,cart,88
71,2024-03-24,ios,view,0
72,2024-03-23,ios,view,0
73,2024-08-19,android,view,0
73,2024-08-19,android,cart,27
74,2024-03-30,android,view,0
74,2024-03-30,android,cart,69
75,2024-01-07,ios,view,0
76,2024-03-25,android,view,0
76,2024-03-25,android,cart,43
77,2024-05-28,ios,view,0
78,2024-02-26,ios,view,0
78,2024-02-26,ios,cart,19
79,2024-01-16,ios,view,0
79,2024-01-16,ios,cart,39
80,2024-01-22,web,view,0
81,2024-05-14,android,view,0
81,2024-05-14,android,cart,39
82,2024-07-27,android,view,0
83,2024-05-09,android,view,0
83,2024-05-09,android,cart,46
84,2024-03-26,ios,view,0
84,2024-03-26,ios,cart,85
84,2024-03-26,ios,checkout,52
85,2024-02-27,ios,view,0
86,2024-07-19,ios,view,0
86,2024-07-19,ios,cart,64
87,2024-03-27,ios,view,0
87,2024-03-27,ios,cart,28
87,2024-03-27,ios,checkout,26
88,2024-01-16,web,view,0
89,2024-08-12,web,view,0
90,2024-08-27,web,view,0
90,2024-08-27,web,cart,78
91,2024-01-17,ios,view,0
92,2024-03-13,ios,view,0
93,2024-04-21,android,view,0
94,2024-04-05,android,view,0
95,2024-06-18,android,view,0
96,2024-05-30,web,view,0
96,2024-05-30,web,cart,27
96,2024-05-30,web,checkout,46
97,2024-02-13,web,view,0
98,2024-07-16,web,view,0
99,2024-02-05,web,view,0
99,2024-02-05,web,cart,37
100,2024-05-17,ios,view,0
100,2024-05-17,ios,cart,63
100,2024-05-17,ios,checkout,48
101,2024-08-06,ios,view,0
102,2024-03-05,ios,view,0
102,2024-03-05,ios,cart,36
102,2024-03-05,ios,checkout,66
103,2024-04-23,ios,view,0
103,2024-04-23,ios,cart,89
104,2024-08-21,ios,view,0
104,2024-08-21,ios,cart,79
105,2024-01-31,android,view,0
105,2024-01-31,android,cart,11
105,2024-01-31,android,checkout,162
106,2024-08-21,web,view,0
107,2024-03-30,android,view,0
108,2024-05-09,web,view,0
109,2024-05-31,ios,view,0
110,2024-05-21,ios,view,0
111,2024-03-04,ios,view,0
111,2024-03-04,ios,cart,47
111,2024-03-04,ios,checkout,118
112,2024-06-02,android,view,0
113,2024-01-03,web,view,0
114,2024-06-03,web,view,0
115,2024-01-23,web,view,0
116,2024-01-14,android,view,0
117,2024-03-23,ios,view,0
117,2024-03-23,ios,cart,72
118,2024-03-03,ios,view,0
119,2024-01-10,ios,view,0
120,2024-02-01,web,view,0
121,2024-01-02,android,view,0
121,2024-01-02,android,cart,69
122,2024-04-12,ios,view,0
123,2024-05-20,ios,view,0
123,2024-05-20,ios,cart,25
124,2024-05-31,ios,view,0
125,2024-08-03,web,view,0
126,2024-05-29,ios,view,0
127,2024-02-23,android,view,0
127,2024-02-23,android,cart,70
128,2024-07-04,android,view,0
129,2024-05-17,web,view,0
