subscriber_id,plan,tenure_months,monthly_gb,monthly_bill,support_tickets,churned
1,S,43,5.1,18.1,2,0
2,S,58,6.4,19.64,6,0
3,L,58,7.8,21.42,6,0
4,L,64,4.4,17.26,1,0
5,M,17,8.7,25.47,5,1
6,L,26,8.8,22.53,5,0
7,M,47,11.2,25.48,4,0
8,XL,48,8.1,21.76,0,1
9,S,43,9.5,23.41,3,0
10,M,23,5.4,21.44,4,1
11,L,49,9.6,23.57,2,0
12,XL,62,10,24.03,2,0
13,L,7,9.3,26.16,4,0
14,S,33,8.2,21.81,4,0
15,L,62,7.9,21.45,1,0
16,L,57,8,21.54,5,0
17,L,7,8.4,25.1,1,0
18,L,47,6.3,19.52,6,0
19,M,39,7,20.4,6,0
20,L,63,10.7,24.79,4,0
21,L,42,8.1,21.75,5,0
22,M,54,11.6,25.92,4,1
23,L,20,4.1,19.95,4,0
24,M,55,8.7,22.4,2,0
25,M,4,9,25.84,0,0
26,S,2,8.4,25.07,6,0
27,L,13,7,23.44,6,0
28,M,55,6.2,19.4,2,0
29,XL,5,9.8,26.8,3,0
30,M,66,9.2,22.99,5,0
31,S,18,9.7,26.69,4,0
32,M,680,7.6,21.06,2,0
33,M,39,6.9,20.3,5,0
34,XL,41,7.1,20.49,2,0
35,L,48,8.5,22.17,2,0
36,XL,59,8.7,22.41,6,0
37,M,8,6.1,22.27,6,0
38,M,25,5.9,19.11,3,0
39,L,59,5.1,18.09,5,0
40,M,57,9.5,23.42,5,0
41,S,59,8.7,22.42,1,0
42,XL,67,7.7,21.26,5,0
43,M,31,9.6,23.47,6,0
44,L,12,7.2,23.69,0,0
45,L,58,6.6,19.97,2,0
46,S,4,6,22.19,6,0
47,L,38,5.8,18.93,5,0
48,S,72,8.9,22.69,1,0
49,XL,38,7.9,21.44,6,0
50,M,58,6.5,19.83,1,1
51,M,29,7,20.38,1,0
52,XL,69,6.7,20,6,0
53,L,25,7.6,21.11,2,1
54,M,14,5.9,22.13,5,0
55,XL,10,8.6,25.33,1,0
56,S,25,7.8,21.39,2,1
57,L,33,7.5,21.04,4,0
58,XL,58,8.3,21.9,1,0
59,L,52,8.3,22,1,0
60,M,18,7,23.4,1,0
61,S,3,4,19.82,6,0
62,L,56,7,20.44,3,1
63,XL,37,7.1,20.48,4,0
64,L,51,6.8,20.16,6,0
65,XL,33,10.2,24.23,5,0
66,S,5,11.1,28.31,4,0
67,S,16,6.4,22.74,0,0
68,S,32,7.2,20.64,6,0
69,L,10,9.5,26.35,6,0
70,M,51,8.5,22.16,2,0
71,L,60,6.3,19.61,1,1
72,XL,50,7,20.45,5,0
73,L,3,6.9,23.31,0,0
74,L,33,9.5,23.36,1,0
75,S,1,8.9,25.72,4,0
76,XL,54,6.9,20.33,1,0
77,L,20,7.3,23.74,2,0
78,L,12,6.8,23.11,4,0
79,XL,5,6,22.21,0,0
80,M,847,7,20.41,0,1
81,M,16,7.5,23.96,0,0
82,L,40,5.5,18.6,3,0
83,S,9,6.5,22.86,0,1
84,M,34,9.3,23.2,3,0
85,XL,29,6.3,19.55,5,0
86,M,57,8.9,22.67,6,0
87,L,39,8.6,22.34,3,0
88,L,1,7.2,23.68,0,0
89,XL,28,8.7,22.45,1,1
90,L,40,5.6,18.77,0,0
91,XL,61,8,21.6,3,0
92,S,48,10.8,24.97,3,0
93,M,23,8,24.63,0,0
94,XL,65,8,21.58,0,0
95,M,30,6.9,20.31,0,0
96,L,35,5.3,18.33,1,0
97,XL,30,9.3,23.11,0,0
98,M,48,12,26.44,4,0
99,XL,26,10.6,24.7,1,0
100,L,12,7.5,23.96,3,0
101,L,4,8.8,25.53,4,0
102,XL,15,4.9,20.83,5,1
103,XL,71,7,20.41,0,0
104,L,67,10.9,25.07,1,0
105,L,8,7,23.4,2,0
106,S,5,8.6,25.3,6,0
107,XL,54,4.2,17.01,6,0
108,M,28,7.4,20.94,0,0
109,XL,66,11.8,26.15,2,0
110,M,63,9,22.75,6,0
111,S,7,5.7,21.87,2,0
112,M,45,9.8,23.75,0,0
113,S,64,5.5,18.65,0,1
114,XL,15,9.1,25.89,1,0
115,XL,71,7.6,21.11,0,0
116,XL,39,7.5,21.02,4,0
117,S,19,7.6,24.17,6,0
118,M,19,7.7,24.23,3,0
119,L,21,7.8,24.35,4,0
120,S,2,6.1,22.29,3,1
121,L,46,7.2,20.66,5,0
122,L,36,7.9,21.43,5,0
123,S,34,6.7,20.09,0,0
124,S,64,6.7,19.99,2,1
125,M,34,8.9,22.64,2,1
126,L,48,8.3,21.92,6,0
127,XL,52,8.5,22.18,4,0
128,M,18,6.9,23.33,0,0
129,XL,22,11.4,28.63,1,0
130,L,50,4.9,17.93,3,0
131,S,1,8.9,25.72,0,0
132,L,71,6.9,20.26,4,0
133,L,54,8.9,22.66,4,0
134,L,48,9.9,23.86,4,0
135,L,35,8.7,22.41,1,0
136,M,41,6.6,19.92,0,0
137,L,24,8.9,25.67,3,0
138,L,48,6.2,19.41,2,0
139,L,72,6.5,19.79,0,0
140,S,1,7.3,23.76,4,0
141,L,51,9.2,23.01,1,0
142,L,6,8.1,24.7,2,0
143,M,15,8,24.59,6,0
144,L,9,8.5,25.22,5,1
145,S,69,6.1,19.29,4,0
146,L,70,7.8,21.36,1,0
147,L,66,8.6,22.33,0,0
148,M,13,9.5,26.35,4,1
149,XL,59,3.7,16.4,4,0
150,L,28,4.4,17.24,4,0
151,L,3,6.3,22.6,0,0
152,M,40,4.8,17.79,2,0
153,L,18,8.6,25.29,6,0
154,XL,55,7.2,20.65,2,0
155,XL,15,6.5,22.74,2,0
156,S,12,9.9,26.85,6,0
157,M,43,10.4,24.52,5,0
158,S,55,9.1,22.94,3,0
159,L,62,4.6,17.52,4,0
160,S,48,6,19.23,2,0
161,L,4,7.7,24.25,5,0
162,M,26,6.9,20.3,6,0
163,L,30,12.5,27.01,5,0
164,XL,46,6.9,20.28,2,0
165,L,48,9.6,23.51,0,0
166,L,51,4.7,17.64,1,0
167,XL,59,4.6,17.58,5,0
168,XL,26,9.9,23.94,0,0
169,L,43,8,21.63,5,1
170,S,31,8.9,22.64,0,0
171,XL,45,6.2,19.43,0,0
172,L,62,6.7,20.1,6,0
173,L,44,9.4,23.33,0,0
174,L,13,9.9,26.84,5,1
175,S,18,11.5,28.83,4,0
176,XL,27,8.9,22.7,4,0
177,XL,6,6.1,22.32,4,0
178,M,45,7.9,21.48,3,0
179,S,20,7.7,24.22,5,0
180,M,22,10.9,28.03,1,0
181,XL,48,9.9,23.91,0,0
182,XL,22,5.4,21.45,1,1
183,S,58,5,17.95,4,0
184,L,22,5.2,21.28,5,0
185,XL,68,10.5,24.63,6,0
186,L,62,5.5,18.64,1,0
187,XL,641,8.3,22,4,0
188,S,63,5,17.98,0,0
189,XL,1,11.8,29.17,5,0
190,L,26,6.8,20.1,4,0
191,M,13,7.4,23.86,0,0
192,L,43,12.2,26.63,4,1
193,XL,27,8.3,21.9,0,1
194,L,45,7.9,21.46,1,0
195,XL,48,8.3,22.02,3,1
196,M,44,12.3,26.71,6,0
197,L,6,6.8,23.12,4,0
198,XL,12,8.9,25.68,0,0
199,XL,12,7.1,23.58,4,0
200,L,53,6.9,20.32,6,0
201,M,9,7,23.39,4,0
202,XL,46,9.3,23.1,5,0
203,L,59,6.6,19.96,2,1
204,L,26,8.3,21.94,0,0
205,L,25,7.3,20.71,3,0
206,XL,821,10.3,24.34,4,0
207,L,66,8.5,22.14,3,0
208,L,47,9.5,23.35,6,0
209,L,62,8.7,22.4,5,0
210,XL,35,6.7,20.04,3,1
211,XL,2,7,23.4,2,0
212,S,52,5.9,19.09,4,0
213,L,9,8,24.56,2,0
214,S,41,8.7,22.4,6,1
215,L,28,5.1,18.16,5,0
216,M,26,8.4,22.08,6,0
217,L,20,7.3,23.82,5,0
218,M,57,7.9,21.54,2,0
219,M,4,6.5,22.83,1,0
220,L,16,9.1,25.94,2,0
221,L,60,7.3,20.8,4,0
222,L,13,9.9,26.89,1,1
223,XL,53,7.1,20.54,5,0
224,XL,43,4.4,17.34,4,0
225,L,50,11.6,25.87,2,0
226,L,54,6.6,19.91,0,1
227,XL,26,8.1,21.76,4,0
228,XL,29,9.1,22.87,1,0
229,S,42,8.9,22.71,3,0
230,L,34,7.2,20.62,1,1
231,L,39,6,19.16,4,1
232,L,57,8.6,22.38,3,0
233,L,7,7.8,24.35,5,0
234,M,67,4.8,17.75,3,0
235,S,32,6.5,19.81,4,0
236,L,5,8.1,24.72,5,0
237,XL,61,9.5,23.35,6,0
238,L,31,7.7,21.26,3,0
239,L,64,9.9,23.86,6,0
240,M,42,10.4,24.42,6,0
241,XL,44,9.3,23.19,0,0
242,M,59,8.2,21.85,0,0
243,S,28,10.4,24.42,1,0
244,S,9,7.8,24.35,5,0
245,M,21,9,25.83,5,0
246,M,55,10.8,24.9,2,0
247,XL,39,8.2,21.85,2,0
248,XL,36,7.5,21.03,4,0
249,XL,40,7.8,21.34,5,0
250,L,66,5.1,18.08,5,0
251,S,13,9.5,26.38,6,0
252,M,15,7.2,23.7,0,0
253,S,6,10.4,27.45,1,0
254,S,19,5.7,21.86,2,0
255,L,64,10.2,24.28,4,0
256,M,9,9.2,26.04,0,0
257,M,53,11,25.2,1,0
258,XL,60,7.5,21,5,0
259,XL,69,7.3,20.75,2,0
260,S,70,9.8,23.73,2,0
261,S,41,8.3,22,4,0
262,S,13,5.7,21.82,1,0
263,M,63,8.2,21.88,1,0
264,M,58,10.3,24.38,5,0
265,XL,67,8.1,21.75,3,0
266,S,40,11.1,25.29,5,1
267,L,67,10.4,24.47,6,0
268,S,58,7.8,21.32,2,0
269,XL,23,8.6,25.31,3,0
270,XL,51,5.1,18.09,5,1
271,M,38,5.7,18.9,1,0
272,S,3,7.6,24.16,5,0
273,L,63,6,19.19,5,0
274,S,46,10.7,24.8,3,0
275,M,657,9.3,23.13,0,0
276,M,22,9.2,26.05,6,0
277,M,57,10,23.97,4,0
278,L,68,8.6,22.37,5,0
279,XL,62,8.9,22.67,0,0
280,L,66,8.7,22.39,0,0
281,L,45,4.5,17.39,2,0
282,L,26,7,20.45,3,0
283,S,62,12.3,26.73,1,0
284,L,15,8.2,24.85,4,0
285,XL,50,10.8,24.99,1,0
286,XL,6,11,28.23,0,0
287,XL,72,5.9,19.07,6,0
288,L,48,10.2,24.19,1,0
289,XL,64,6.7,20.05,5,0
290,M,70,6.6,19.97,4,0
291,L,24,9.5,26.37,4,0
292,XL,49,9.4,23.32,5,0
293,XL,28,8,21.6,0,0
294,XL,50,8.5,22.18,2,0
295,XL,7,7.6,24.07,4,1
296,L,36,7.1,20.52,1,0
297,L,8,5.4,21.53,3,0
298,XL,20,10.8,27.98,2,0
299,XL,69,5.2,18.19,0,0
300,L,12,5.7,21.87,2,0
301,S,37,9.7,23.6,2,0
302,L,6,8.6,25.29,6,0
303,M,47,10.2,24.25,2,0
304,XL,12,5.6,21.75,5,0
305,M,23,8.7,25.4,0,0
306,L,57,9.8,23.77,0,0
307,XL,17,6.3,22.52,3,0
308,L,72,6.5,19.79,1,0
309,L,19,4.7,20.59,1,0
310,XL,70,6.6,19.89,0,0
311,M,62,6.1,19.3,2,0
312,L,66,6.7,20.08,6,0
313,M,11,9.5,26.35,0,0
314,XL,12,11.9,29.34,4,0
315,L,46,9.6,23.46,6,0
316,XL,31,7.6,21.18,1,0
317,XL,49,9.4,23.34,5,0
318,L,60,10.1,24.06,4,0
319,S,9,7.7,24.19,1,0
320,XL,32,9,22.74,0,0
321,M,64,7.1,20.53,0,0
322,M,36,7.9,21.44,1,0
323,L,22,9,25.75,4,0
324,L,1,5.9,22.04,1,1
325,S,4,9.3,26.2,0,0
326,L,59,8.7,22.38,5,0
327,XL,24,8.1,24.77,4,0
328,L,14,7.1,23.53,3,0
329,M,43,12.4,26.89,6,0
330,L,41,8.8,22.62,6,0
331,XL,20,5.3,21.31,6,1
332,M,22,9.1,25.88,2,1
333,L,19,6.9,23.26,0,0
334,M,46,9.1,22.94,2,0
335,L,42,7.2,20.64,5,0
336,L,64,8.5,22.2,1,0
337,XL,27,10.2,24.29,2,0
338,XL,53,6.5,19.85,5,0
339,S,18,5.9,22.1,5,0
340,M,58,7.1,20.52,5,0
341,M,25,6.6,19.94,3,0
342,S,10,6.6,22.92,0,0
343,S,36,9,22.82,5,0
344,L,36,9.2,23.02,5,0
345,L,39,8.4,22.08,1,0
346,M,57,9.9,23.83,1,0
347,L,68,6.3,19.51,6,0
348,L,23,7.8,24.34,2,0
349,L,1,5,20.99,6,0
350,XL,56,9.2,23,0,0
351,L,627,8.3,21.96,3,0
352,L,55,8.1,21.74,4,1
353,L,66,8.5,22.23,1,0
354,L,67,5.3,18.31,2,0
355,L,27,8.2,21.82,1,0
356,L,56,8.3,21.93,1,0
357,XL,17,5,21.02,0,0
358,L,36,11.1,25.36,2,0
359,L,13,8.3,24.91,2,0
360,XL,65,7.6,21.13,3,0
361,S,63,11.1,25.32,0,0
362,S,63,7.7,21.28,2,0
363,L,31,9.1,22.88,3,0
364,M,69,7.7,21.29,4,1
365,XL,53,8.3,21.92,1,0
366,S,21,9,25.77,5,0
367,M,48,8.4,22.06,0,0
368,M,30,9.3,23.18,0,0
369,L,17,10.1,27.07,5,0
370,M,18,6.5,22.79,1,0
371,M,69,6.7,20,5,0
372,L,53,8.7,22.44,3,0
373,L,62,9.2,23.04,1,0
374,L,6,8.7,25.41,1,0
375,L,40,7.4,20.93,0,0
376,M,24,6,22.21,2,0
377,S,6,9.2,26.01,2,0
378,XL,49,7,20.46,2,0
379,S,43,8.1,21.7,1,0
380,L,70,5.6,18.74,3,0
381,M,38,8.2,21.86,6,0
382,XL,4,8.4,25.07,0,0
383,L,51,9.2,23.06,3,0
384,L,68,8.2,21.82,5,0
385,L,8,10.5,27.56,2,0
386,L,54,10.4,24.46,1,0
387,XL,51,11.1,25.26,2,0
388,L,41,11.2,25.44,4,0
389,S,32,10.1,24.12,5,0
390,L,4,8.1,24.74,1,0
391,L,48,7.1,20.49,6,0
392,M,57,5.2,18.22,4,1
393,L,3,5.3,21.37,6,0
394,L,42,8.3,21.91,3,0
395,L,55,9.2,23.03,2,0
396,M,56,6.6,19.92,6,0
397,L,70,11.8,26.2,5,0
398,M,55,12.2,26.63,1,0
399,M,3,6.9,23.25,3,0
400,M,65,6.5,19.78,6,0
401,M,56,6.9,20.32,6,1
402,L,8,7.9,24.49,5,0
403,XL,69,8.5,22.16,2,0
404,M,762,8.8,22.57,2,1
405,L,1,9.4,26.28,2,0
406,L,51,9.9,23.89,4,1
407,L,57,7.2,20.63,2,0
408,S,16,10.7,27.8,5,0
409,L,20,10.2,27.28,3,0
410,L,43,10.5,24.66,1,0
411,L,5,7.7,24.22,5,0
412,XL,18,6.1,22.36,4,1
413,L,13,9.5,26.38,2,0
414,S,730,7.4,20.83,1,1
415,L,60,10.6,24.75,4,1
416,XL,53,9.2,23.06,5,0
417,M,3,6.6,22.91,1,1
418,L,55,7.5,21.03,4,1
419,L,16,7,23.45,4,0
420,L,52,8.6,22.29,3,0
421,M,34,5.7,18.83,6,0
422,L,44,10.1,24.15,0,0
423,L,8,11.1,28.37,4,0
424,M,11,10.7,27.83,3,0
425,M,28,7.9,21.46,2,0
426,XL,61,7.2,20.63,0,0
427,M,62,9.6,23.56,3,0
428,S,58,8.1,21.76,1,0
429,S,10,7.2,23.62,6,0
430,S,51,4.9,17.82,2,0
431,XL,26,8.2,21.83,4,0
432,L,10,8.3,24.99,0,0
433,L,46,7.6,21.09,0,0
434,XL,34,5.8,18.92,3,0
435,L,61,5.4,18.45,6,0
436,L,36,6.2,19.46,6,0
437,L,15,8.7,25.42,0,0
438,L,2,6.8,23.11,3,0
439,L,54,6.8,20.22,1,0
440,XL,28,5.1,18.08,1,0
441,M,29,6.5,19.85,0,0
442,S,21,7.6,24.14,2,0
443,XL,64,7.7,21.25,3,1
444,M,19,10.8,27.93,0,0
445,M,49,7.7,21.25,5,0
446,L,37,9.1,22.95,3,0
447,M,24,8.8,25.52,3,0
448,XL,48,6.4,19.71,6,0
449,S,7,10.1,27.11,1,0
450,S,7,5.4,21.53,1,1
451,L,1,9.6,26.47,2,1
452,L,9,6.5,22.82,5,0
453,M,624,6.4,19.66,4,0
454,XL,67,8.5,22.2,2,0
455,XL,60,4.4,17.23,5,0
456,XL,22,5.3,21.34,0,1
457,L,71,9.9,23.87,0,0
458,XL,30,8.7,22.48,0,0
459,M,54,7.6,21.15,0,0
460,M,37,7.9,21.47,4,0
461,L,11,6.6,22.93,1,0
462,S,5,9.4,26.32,6,0
463,XL,17,5.6,21.74,4,0
464,S,57,7,20.34,6,0
465,L,9,10,26.97,3,0
466,XL,72,7.7,21.22,2,0
467,L,8,9.2,26.09,1,0
468,S,24,4.4,20.3,6,0
469,L,49,3.5,16.19,3,0
470,M,68,9.3,23.22,2,0
471,S,40,4.9,17.91,4,0
472,L,50,8.1,21.69,4,0
473,M,25,8,21.63,6,0
474,L,10,8,24.56,4,0
475,L,69,7,20.39,3,0
476,M,55,4.9,17.93,2,0
477,L,17,6.8,23.18,5,0
478,M,66,8.4,22.08,1,0
479,L,17,6.5,22.75,0,0
480,L,46,5.2,18.25,6,0
481,M,59,9,22.85,2,0
482,L,58,8.2,21.83,5,0
483,L,65,6,19.2,4,0
484,L,20,5.1,21.13,1,0
485,M,7,8.3,24.93,6,0
486,S,66,8.3,21.93,6,0
487,XL,12,6.6,22.89,4,0
488,L,67,8,21.59,4,0
489,L,48,5.7,18.79,3,0
490,M,72,10.9,25.14,1,0
491,L,58,9.2,23.07,1,0
492,M,62,8.9,22.67,0,0
493,S,25,10,24.02,4,0
494,XL,36,10.9,25.08,6,1
495,S,37,8.7,22.48,0,0
496,XL,641,9.3,23.19,3,0
497,L,6,8.1,24.7,5,0
498,L,60,10.9,25.07,5,0
499,S,12,6.8,23.14,1,0
500,S,43,7.3,20.75,3,0
501,L,47,10.6,24.69,0,0
502,L,64,8.9,22.71,6,1
503,L,32,11.1,25.35,6,0
504,L,70,10.2,24.26,1,0
505,M,6,9.7,26.62,1,0
506,L,71,9.6,23.46,5,1
507,L,71,8.3,21.98,6,0
508,M,1,9.1,25.95,0,0
509,L,12,11.8,29.15,1,1
510,M,59,11,25.21,4,1
511,S,13,5.4,21.5,4,0
512,S,57,6.5,19.79,5,0
513,XL,44,8,21.55,4,0
514,XL,51,7,20.36,6,0
515,M,40,7.5,21.01,5,0
516,XL,28,6.6,19.89,2,0
517,M,42,7.1,20.53,4,0
518,L,62,4.5,17.39,5,0
519,M,45,11.9,26.3,0,0
520,M,13,7.9,24.45,4,0
521,L,30,7.3,20.76,6,0
522,XL,68,3.5,16.26,6,0
523,M,36,9.8,23.72,2,1
524,S,61,8.9,22.64,4,0
525,L,50,9.9,23.89,2,1
526,S,61,7.7,21.27,5,0
527,XL,12,8.3,24.94,2,0
528,S,47,8.1,21.7,1,1
529,L,58,10.6,24.69,0,0
530,S,54,6.6,19.98,2,0
531,L,56,9.1,22.86,0,0
532,L,44,6.5,19.82,0,0
533,M,24,8.7,25.47,5,0
534,L,1,8.7,25.45,0,0
535,M,43,6.7,20.06,2,0
536,M,893,7.2,20.68,2,0
537,XL,23,7.8,24.32,2,0
538,L,66,6.5,19.81,4,0
539,L,8,11.2,28.44,2,0
540,XL,14,9.2,26,2,0
541,L,20,5.3,21.41,3,1
542,M,60,6.6,19.97,2,1
543,XL,19,6.2,22.46,3,0
544,L,50,4.5,17.44,2,0
545,M,50,4.5,17.42,0,0
546,XL,71,7.1,20.54,2,1
547,XL,32,7.7,21.23,2,0
548,L,6,6.6,22.89,2,1
549,S,11,6.1,22.31,4,1
550,M,30,9.7,23.63,6,0
551,S,70,11.1,25.33,4,0
552,L,43,9.5,23.37,5,0
553,L,18,6.1,22.37,6,0
554,M,56,8.2,21.88,6,0
555,L,13,10.4,27.47,2,0
556,M,35,10,24.04,1,0
557,L,69,8,21.6,2,1
558,S,28,8.1,21.77,2,0
559,XL,15,6.2,22.48,4,0
560,L,41,7.9,21.47,0,0
561,L,41,12.5,26.95,1,0
562,XL,51,6.6,19.97,2,0
563,L,61,8.2,21.81,1,0
564,S,64,8.2,21.84,1,0
565,S,16,7.5,24,5,0
566,XL,29,7.3,20.73,1,0
567,M,68,8.5,22.22,1,0
568,M,51,8.5,22.24,0,0
569,S,10,6.4,22.63,3,0
570,L,27,9.9,23.9,0,0
571,M,20,5.1,21.08,2,0
572,S,25,5.9,19.04,5,0
573,XL,2,8.3,24.94,4,0
574,M,12,7.6,24.16,1,0
575,L,54,8.9,22.69,4,1
576,L,34,8.4,22.05,5,0
577,L,8,8.7,25.5,4,0
578,S,63,9.7,23.65,3,0
579,S,22,9.1,25.88,6,0
580,L,58,6.9,20.32,0,0
581,S,63,8.4,22.13,0,0
582,M,17,11,28.23,0,0
583,S,66,10.3,24.41,3,0
584,M,44,8.1,21.74,5,0
585,XL,45,6.9,20.24,3,0
586,L,44,8.4,22.06,4,0
587,L,46,8.2,21.84,4,1
588,XL,10,8.5,25.21,5,1
589,S,5,7.9,24.43,5,0
590,XL,11,7.7,24.26,5,0
591,L,38,7.9,21.49,3,0
592,S,70,6,19.24,1,0
593,L,61,4.8,17.72,4,0
594,L,15,8.9,25.63,4,0
595,M,55,5.9,19.05,3,0
596,XL,9,6.4,22.64,0,1
597,L,51,5.8,18.98,4,0
598,XL,62,7.9,21.5,1,0
599,XL,45,7.3,20.79,2,0
600,L,4,8.9,25.73,1,0
601,L,31,10.1,24.1,0,0
602,XL,71,9.7,23.66,4,0
603,M,61,10.4,24.48,2,0
604,M,11,8.6,25.32,4,0
605,M,14,6.9,23.29,1,0
606,XL,35,6.5,19.84,3,0
607,L,36,6.6,19.92,1,0
608,L,26,6.5,19.86,2,0
609,L,39,11,25.23,1,0
610,M,32,8.5,22.25,5,0
