listing_id,city,listed_date,sold_date,bedrooms,area,price
1,Abuja,2024-09-20,2024-03-01,1,56,322000
2,PH,2024-08-31,2024-10-17,2,90,334000
3,PH,2024-08-07,2024-11-09,2,90,428000
4,Ibadan,2024-01-21,2024-04-07,3,112,571000
5,Lagos,2024-05-19,2024-06-22,3,153,519000
6,Lagos,2024-09-26,2024-10-28,2,86,299000
7,PH,2024-06-25,2024-08-21,4,193,557000
8,Ibadan,2024-11-21,2024-01-13,4,2121,851000
9,PH,2024-05-12,2024-09-07,1,74,245000
10,Lagos,2024-10-13,2024-02-07,1,31,208000
11,Abuja,2024-05-28,2024-11-16,5,190,899000
12,PH,2024-01-22,2024-02-02,5,218,469000
13,PH,2024-07-02,2024-09-28,2,74,249000
14,PH,2024-09-03,2024-08-30,4,177,927000
15,Lagos,2024-07-24,2024-07-22,2,84,175000
16,Lagos,2024-06-18,2024-07-30,2,107,471000
17,PH,2024-11-10,2024-02-16,5,199,900000
18,Lagos,2024-08-16,2024-01-04,5,194,958000
19,PH,2024-01-23,2024-02-22,1,39,190000
20,PH,2024-09-10,2024-03-03,3,128,361000
21,Lagos,2024-02-12,2024-06-07,5,217,6520000
22,Abuja,2024-08-30,2024-12-28,1,32,302000
23,Abuja,2024-07-06,2024-10-25,5,226,1159000
24,Abuja,2024-07-15,2024-10-09,2,74,186000
25,Abuja,2024-03-03,2024-04-06,3,151,394000
26,Ibadan,2024-12-25,2024-03-13,5,215,1022000
27,PH,2024-10-09,2024-10-31,4,160,725000
28,Abuja,2024-03-28,2024-09-12,2,83,250000
29,Abuja,2024-03-26,2024-03-20,3,114,422000
30,Lagos,2024-07-24,2024-11-25,4,175,9280000
31,Ibadan,2024-10-12,2024-03-14,5,218,686000
32,Abuja,2024-05-25,2024-08-26,3,152,7720000
33,Abuja,2024-05-04,2024-10-06,5,233,907000
34,Ibadan,2024-08-31,2024-10-30,4,169,988000
35,PH,2024-06-26,2024-11-04,1,30,128000
36,PH,2024-07-23,2024-09-10,2,97,390000
37,PH,2024-05-23,2024-09-11,3,1410,553000
38,Abuja,2024-08-25,2024-01-05,5,206,715000
39,PH,2024-01-13,2024-02-03,1,39,99000
40,Lagos,2024-11-13,2024-12-01,2,915,311000
41,Lagos,2024-09-28,2024-02-18,4,193,848000
42,Lagos,2024-03-19,2024-07-30,2,96,308000
43,Ibadan,2024-01-12,2024-03-08,2,100,315000
44,Abuja,2024-12-25,2024-12-14,3,1399,461000
45,Ibadan,2024-06-04,2024-05-17,2,107,315000
46,PH,2024-10-12,2024-01-08,2,88,241000
47,Abuja,2024-01-24,2024-03-11,2,88,176000
48,PH,2024-01-04,2024-01-25,3,136,306000
49,Abuja,2024-07-20,2024-09-21,3,1313,520000
50,Abuja,2024-04-11,2024-09-29,3,125,277000
51,Ibadan,2024-04-21,2024-08-17,5,228,1131000
52,Ibadan,2024-07-27,2024-10-05,5,228,916000
53,Ibadan,2024-08-06,2024-09-08,1,79,481000
54,Lagos,2024-11-04,2024-11-30,1,77,376000
55,Lagos,2024-07-18,2024-12-27,5,234,690000
56,Abuja,2024-09-23,2024-10-24,1,44,234000
57,PH,2024-10-29,2024-01-16,1,65,197000
58,Abuja,2024-03-14,2024-04-01,4,163,413000
59,PH,2024-08-15,2024-12-26,4,159,721000
60,Lagos,2024-01-29,2024-04-13,2,118,504000
61,Ibadan,2024-12-05,2024-02-20,3,112,411000
62,Ibadan,2024-05-01,2024-08-31,5,223,669000
63,Ibadan,2024-04-24,2024-06-03,1,47,95000
64,Lagos,2024-09-02,2024-11-05,4,188,593000
65,Abuja,2024-08-01,2024-07-13,1,50,86000
66,Lagos,2024-03-22,2024-05-26,3,160,628000
67,Abuja,2024-08-30,2024-01-10,4,172,750000
68,Lagos,2024-09-28,2024-01-06,3,156,425000
69,Ibadan,2024-03-19,2024-05-08,5,212,568000
70,Lagos,2024-06-17,2024-10-01,4,183,694000
71,PH,2024-06-23,2024-10-12,2,87,245000
72,Abuja,2024-09-20,2024-11-30,4,193,854000
73,Ibadan,2024-08-23,2024-11-05,5,197,820000
74,Ibadan,2024-07-27,2024-01-05,4,152,659000
75,Ibadan,2024-10-25,2024-04-04,1,63,271000
76,PH,2024-03-02,2024-05-05,1,452,84000
77,PH,2024-12-13,2024-05-04,1,37,76000
78,Ibadan,2024-11-27,2024-04-12,1,39,195000
79,Lagos,2024-01-18,2024-03-12,2,114,636000
80,Abuja,2024-04-12,2024-06-27,4,173,466000
81,Abuja,2024-04-28,2024-04-11,2,82,246000
82,PH,2024-03-28,2024-04-18,3,111,395000
83,Abuja,2024-05-19,2024-05-14,3,122,435000
84,Ibadan,2024-11-15,2024-01-14,2,106,318000
85,Abuja,2024-09-26,2024-12-16,4,155,601000
86,Ibadan,2024-06-06,2024-09-09,3,112,342000
87,PH,2024-07-22,2024-10-01,3,142,526000
88,PH,2024-10-11,2024-03-26,2,74,184000
89,Lagos,2024-12-29,2024-02-21,2,115,606000
90,Lagos,2024-10-24,2024-04-20,3,157,444000
91,Abuja,2024-08-26,2024-02-07,2,113,383000
92,Ibadan,2024-06-06,2024-07-01,2,81,467000
93,Abuja,2024-02-07,2024-07-14,5,211,816000
94,Abuja,2024-12-18,2024-02-12,5,204,729000
95,Abuja,2024-01-25,2024-07-18,1,76,396000
96,Abuja,2024-03-05,2024-08-14,2,85,285000
97,Lagos,2024-03-05,2024-07-24,4,179,925000
98,PH,2024-02-29,2024-06-06,3,160,618000
99,Lagos,2024-01-30,2024-03-10,1,73,211000
100,Abuja,2024-10-31,2024-03-15,4,175,764000
101,Abuja,2024-12-05,2024-01-03,2,93,290000
102,PH,2024-10-10,2024-10-04,4,162,495000
103,Abuja,2024-05-25,2024-08-08,2,92,259000
104,Ibadan,2024-04-07,2024-08-01,3,134,299000
105,Ibadan,2024-01-07,2024-02-27,5,234,797000
106,Lagos,2024-09-04,2024-01-21,1,49,186000
107,Lagos,2024-06-06,2024-10-24,3,121,376000
108,Lagos,2024-06-19,2024-06-02,2,83,369000
109,Ibadan,2024-08-27,2024-10-02,1,51,380000
110,Ibadan,2024-10-13,2024-10-23,3,153,423000
111,PH,2024-03-24,2024-08-30,3,1270,571000
112,Abuja,2024-11-19,2024-02-17,5,199,828000
