employee_id,department,hire_date,level,last_promo_date,salary,status
1,Ops,2024-07-19,3,,71825,active
2,Engineering,2024-12-03,2,,89159,active
3,Marketing,2024-09-19,2,,61270,active
4,Marketing,2024-01-07,1,,46664,active
5,Marketing,2024-08-16,1,,94980,active
6,Marketing,2024-10-04,2,2024-05-18,50252,active
7,Support,2024-01-15,1,,55795,active
8,Engineering,2024-08-09,1,,87745,active
9,Support,2024-02-09,1,,49024,active
10,Marketing,2024-11-08,2,2024-06-13,90894,active
11,Ops,2024-04-19,2,2024-04-28,98854,active
12,Support,2024-05-12,2,,75336,active
13,Sales,2024-04-29,1,2024-03-30,85704,active
14,Marketing,2024-09-29,1,2024-02-24,88501,active
15,Support,2024-01-14,1,,43369,left
16,Sales,2024-10-28,2,,76185,active
17,Sales,2024-08-12,3,,76287,active
18,Sales,2024-07-13,1,2024-12-20,56638,active
19,Engineering,2024-07-15,2,2024-05-13,106462,active
20,Sales,2024-03-18,2,,45097,active
21,Support,2024-05-28,1,,62007,active
22,Marketing,2024-03-19,3,2024-06-10,94249,active
23,Sales,2024-06-16,1,,45623,active
24,Engineering,2024-03-24,3,2024-01-31,76238,active
25,Marketing,2024-01-27,1,,83625,active
26,Marketing,2024-06-18,3,2024-12-03,87844,active
27,Ops,2024-02-26,3,2024-05-09,52597,active
28,Support,2024-12-17,2,,87591,active
29,Ops,2024-10-12,2,,92486,active
30,Ops,2024-07-19,2,,47107,active
31,Ops,2024-06-12,3,,97413,active
32,Ops,2024-07-30,2,,61569,active
33,Marketing,2024-06-18,2,,88730,active
34,Engineering,2024-07-12,3,,64463,active
35,Engineering,2024-01-02,3,,80771,active
36,Engineering,2024-12-11,3,,66564,active
37,Ops,2024-05-02,3,,76981,left
38,Ops,2024-10-16,3,,92891,active
39,Ops,2024-01-19,2,,83404,active
40,Ops,2024-03-04,1,,51832,left
41,Ops,2024-12-04,1,2024-02-05,48620,active
42,Engineering,2024-04-29,2,,104018,active
43,Ops,2024-06-26,2,,76716,active
44,Support,2024-08-25,3,,99187,active
45,Sales,2024-05-01,3,2024-09-24,96897,active
46,Marketing,2024-09-26,3,,59868,active
47,Marketing,2024-05-23,2,2024-04-03,42486,active
48,Marketing,2024-09-24,3,,52074,active
49,Sales,2024-08-16,2,2024-09-15,73581,active
50,Ops,2024-07-14,3,,81258,left
51,Engineering,2024-03-07,1,,115789,active
52,Sales,2024-03-17,3,,60279,active
53,Sales,2024-09-16,3,,87822,active
54,Ops,2024-12-12,1,,67255,active
55,Engineering,2024-08-11,3,,105554,active
56,Marketing,2024-04-09,1,,62115,active
57,Sales,2024-10-05,2,2024-05-04,88670,active
58,Sales,2024-01-26,3,,45296,active
59,Marketing,2024-06-14,1,,70878,active
60,Ops,2024-08-21,2,,86699,active
61,Engineering,2024-05-27,3,,92438,active
62,Marketing,2024-01-27,3,,58345,active
63,Ops,2024-08-18,2,,47093,active
64,Ops,2024-11-29,2,,67534,active
65,Sales,2024-08-29,1,,44905,active
66,Engineering,2024-12-22,1,,72107,left
67,Marketing,2024-08-24,3,,77228,active
68,Sales,2024-11-02,3,,87335,active
69,Sales,2024-03-11,3,,76428,active
70,Sales,2024-09-15,2,,64650,active
71,Sales,2024-06-11,2,2024-06-24,60786,active
72,Sales,2024-07-24,1,,41402,left
73,Engineering,2024-04-10,3,,103337,active
74,Ops,2024-07-11,3,,85590,active
75,Sales,2024-07-25,2,2024-08-06,65762,left
76,Engineering,2024-09-29,1,,84338,active
77,Support,2024-02-18,2,,40528,active
78,Ops,2024-04-01,2,,66147,active
79,Marketing,2024-07-25,1,2024-09-04,63054,active
80,Marketing,2024-07-19,1,,43869,active
81,Ops,2024-04-24,3,2024-12-08,40118,left
82,Support,2024-10-05,3,2024-02-11,59068,active
83,Sales,2024-05-18,1,,64124,active
84,Ops,2024-01-24,3,,85655,active
85,Ops,2024-05-07,2,,63578,active
86,Sales,2024-08-14,2,,56913,active
87,Engineering,2024-08-03,2,2024-09-29,110197,active
88,Support,2024-08-11,1,,86279,active
89,Marketing,2024-02-21,2,,69914,active
90,Sales,2024-03-11,1,,50757,active
91,Engineering,2024-07-29,1,,64278,left
92,Support,2024-07-14,2,,80109,left
93,Engineering,2024-06-17,1,,115039,active
