employee_id,exit_date,exit_reason
15,2024-01-12,compensation
37,2024-05-04,family
40,2024-02-08,comp
50,2024-05-10,better offer $$$
66,2024-01-20,compensation
72,2024-06-16,manager
75,2024-10-25,comp
81,2024-05-24,comp
91,2024-08-04,family
92,2024-05-27,pay
133,2024-08-19,compensation
140,2024-04-09,comp
154,2024-05-10,pay
157,2024-02-13,family
170,2024-09-03,better offer $$$
181,2024-04-01,better offer $$$
225,2024-05-09,salary
237,2024-01-13,comp
244,2024-10-06,manager
247,2024-05-18,comp
258,2024-09-19,manager
264,2024-06-09,compensation
277,2024-06-29,role change
283,2024-06-19,comp
311,2024-07-07,salary
317,2024-06-28,burnout
322,2024-07-09,salary
323,2024-08-10,family
324,2024-04-13,role change
330,2024-08-11,family
335,2024-01-02,comp
340,2024-06-11,better offer $$$
345,2024-05-07,burnout
346,2024-06-18,comp
349,2024-06-17,role change
356,2024-10-03,relocation
361,2024-03-17,comp
383,2024-07-29,burnout
384,2024-06-05,burnout
394,2024-08-26,pay
395,2024-03-23,salary
406,2024-10-13,compensation
416,2024-07-31,better offer $$$
432,2024-01-27,comp
444,2024-05-02,relocation
446,2024-05-14,role change
447,2024-03-16,better offer $$$
469,2024-02-29,role change
470,2024-10-06,salary
479,2024-08-14,family
482,2024-06-07,pay
483,2024-01-06,manager
488,2024-07-01,burnout
495,2024-03-04,pay
508,2024-09-10,role change
537,2024-03-11,comp
552,2024-08-10,compensation
582,2024-05-27,pay
588,2024-02-10,better offer $$$
618,2024-10-19,compensation
650,2024-05-19,role change
653,2024-04-19,family
659,2024-01-30,burnout
662,2024-07-16,salary
673,2024-07-08,compensation
698,2024-03-20,relocation
701,2024-03-20,family
712,2024-04-12,compensation
722,2024-02-04,comp
737,2024-04-05,relocation
790,2024-09-11,family
792,2024-09-27,family
794,2024-04-14,better offer $$$
801,2024-04-07,pay
845,2024-07-27,pay
867,2024-07-26,manager
876,2024-01-31,compensation
878,2024-01-12,comp
900,2024-01-12,salary
906,2024-05-02,comp
953,2024-07-11,better offer $$$
957,2024-03-11,salary
965,2024-09-21,compensation
983,2024-04-29,comp
987,2024-04-27,pay
1003,2024-04-28,family
1027,2024-09-04,relocation
1033,2024-05-22,role change
1037,2024-04-22,manager
1040,2024-05-03,better offer $$$
1044,2024-10-07,pay
1053,2024-10-17,family
1054,2024-01-22,relocation
1056,2024-04-04,burnout
