enrolment_id,course,enrolled_date,plan
1,Data 101,2024-07-31,paid
2,Data 101,2024-08-09,free
3,Python Intro,2024-07-02,paid
4,Data 101,2024-02-13,free
5,Python Intro,2024-09-10,free
6,Data 101,2024-01-22,paid
7,SQL Basics,2024-06-01,paid
8,SQL Basics,2024-08-04,free
9,Python Intro,2024-10-16,free
10,SQL Basics,2024-06-13,free
11,Python Intro,2024-01-28,free
12,SQL Basics,2024-06-21,free
13,SQL Basics,2024-06-12,free
14,Python Intro,2024-06-27,paid
15,Python Intro,2024-04-05,paid
16,Python Intro,2024-01-23,free
17,Python Intro,2024-08-01,free
18,SQL Basics,2024-02-04,free
19,Data 101,2024-02-27,free
20,Python Intro,2024-03-26,free
21,Python Intro,2024-09-01,paid
22,SQL Basics,2024-09-13,free
23,Data 101,2024-07-18,free
24,SQL Basics,2024-09-04,free
25,Data 101,2024-01-05,free
26,Python Intro,2024-02-09,paid
27,Python Intro,2024-08-13,paid
28,Data 101,2024-06-29,free
29,Data 101,2024-03-28,paid
30,SQL Basics,2024-07-27,paid
31,SQL Basics,2024-09-01,free
32,SQL Basics,2024-02-24,paid
33,Python Intro,2024-04-20,paid
34,Python Intro,2024-10-26,paid
35,SQL Basics,2024-09-12,paid
36,Python Intro,2024-01-17,free
37,Data 101,2024-01-24,free
38,SQL Basics,2024-02-21,free
39,SQL Basics,2024-02-14,free
40,Data 101,2024-09-22,free
41,Data 101,2024-02-23,paid
42,Data 101,2024-08-28,free
43,Python Intro,2024-03-19,free
44,SQL Basics,2024-10-12,free
45,SQL Basics,2024-10-18,paid
46,Data 101,2024-05-23,paid
47,Data 101,2024-05-28,paid
48,SQL Basics,2024-04-15,paid
49,Python Intro,2024-04-18,free
50,Data 101,2024-06-11,paid
51,SQL Basics,2024-04-27,free
52,SQL Basics,2024-01-08,paid
53,Python Intro,2024-05-19,free
54,Python Intro,2024-08-15,free
55,Data 101,2024-05-14,free
56,Data 101,2024-08-17,paid
57,Python Intro,2024-01-06,paid
58,Python Intro,2024-06-24,paid
59,SQL Basics,2024-08-24,paid
60,Data 101,2024-06-17,free
61,SQL Basics,2024-01-04,free
62,Python Intro,2024-09-08,free
63,Data 101,2024-06-28,free
64,Python Intro,2024-08-04,paid
65,SQL Basics,2024-05-25,free
66,Python Intro,2024-10-06,free
