enrolment_id,lesson_no,completed,completed_date
1,1,1,2024-08-04
1,2,1,2024-08-10
1,3,1,2024-08-11
1,4,1,2024-08-13
1,5,1,2024-08-18
1,6,1,2024-08-21
1,7,0,
2,1,1,2024-08-10
2,2,1,2024-08-15
2,3,1,2024-08-17
2,4,1,2024-08-20
2,5,1,2024-08-26
2,6,1,2024-08-30
2,7,0,
3,1,0,
4,1,1,2024-02-18
4,2,1,2024-02-19
4,3,1,2024-02-21
4,4,1,2024-02-23
4,5,1,2024-02-25
4,6,0,
5,1,1,2024-09-15
5,2,1,2024-09-18
5,3,1,2024-09-24
5,4,0,
6,1,1,2024-01-27
6,2,1,2024-01-31
6,3,1,2024-02-03
6,4,1,2024-02-08
6,5,0,
7,1,0,
8,1,1,2024-08-10
8,2,1,2024-08-13
8,3,1,2024-08-16
8,4,1,2024-08-22
8,5,1,2024-08-26
8,6,1,2024-08-31
8,7,0,
9,1,1,2024-10-21
9,2,1,2024-10-24
9,3,1,2024-10-25
9,4,1,2024-10-27
9,5,1,2024-11-02
9,6,1,2024-11-07
9,7,1,2024-11-09
9,8,1,2024-11-12
9,9,1,2024-11-17
9,10,1,2024-11-19
9,11,0,
10,1,1,2024-06-19
10,2,1,2024-06-21
10,3,1,2024-06-25
10,4,0,
11,1,1,2024-01-29
11,2,1,2024-01-30
11,3,1,2024-02-03
11,4,1,2024-02-04
11,5,1,2024-02-07
11,6,1,2024-02-12
11,7,1,2024-02-13
11,8,1,2024-02-19
11,9,1,2024-02-24
11,10,0,
12,1,1,2024-06-26
12,2,1,2024-07-02
12,3,1,2024-07-05
12,4,0,
13,1,1,2024-06-13
13,2,1,2024-06-19
13,3,1,2024-06-25
13,4,1,2024-06-26
13,5,1,2024-06-27
13,6,1,2024-07-02
13,7,1,2024-07-05
13,8,0,
14,1,1,2024-06-28
14,2,1,2024-06-30
14,3,1,2024-07-05
14,4,0,
15,1,1,2024-04-06
15,2,1,2024-04-07
15,3,1,2024-04-12
15,4,1,2024-04-18
15,5,1,2024-04-21
15,6,1,2024-04-25
15,7,1,2024-05-01
15,8,1,2024-05-04
15,9,0,
16,1,1,2024-01-29
16,2,1,2024-02-02
16,3,1,2024-02-03
16,4,1,2024-02-06
16,5,0,
17,1,1,2024-08-02
17,2,1,2024-08-06
17,3,1,2024-08-11
17,4,1,2024-08-14
17,5,1,2024-08-19
17,6,1,2024-08-25
17,7,1,2024-08-30
17,8,0,
18,1,1,2024-02-07
18,2,1,2024-02-11
18,3,1,2024-02-16
18,4,1,2024-02-20
18,5,1,2024-02-22
18,6,0,
19,1,1,2024-02-29
19,2,1,2024-03-03
19,3,1,2024-03-06
19,4,1,2024-03-08
19,5,1,2024-03-11
19,6,1,2024-03-14
19,7,1,2024-03-15
19,8,0,
20,1,1,2024-03-27
20,2,1,2024-04-01
20,3,1,2024-04-03
20,4,1,2024-04-07
20,5,1,2024-04-13
20,6,1,2024-04-16
20,7,1,2024-04-22
20,8,1,2024-04-25
20,9,1,2024-05-01
20,10,0,
21,1,0,
22,1,0,
23,1,1,2024-07-23
23,2,0,
24,1,1,2024-09-07
24,2,0,
25,1,1,2024-01-11
25,2,1,2024-01-17
25,3,1,2024-01-18
25,4,1,2024-01-24
25,5,1,2024-01-28
25,6,1,2024-02-03
25,7,1,2024-02-06
25,8,1,2024-02-12
25,9,0,
26,1,1,2024-02-13
26,2,1,2024-02-16
26,3,1,2024-02-20
26,4,1,2024-02-25
26,5,1,2024-03-02
26,6,0,
27,1,1,2024-08-17
27,2,1,2024-08-19
27,3,1,2024-08-21
27,4,1,2024-08-24
27,5,1,2024-08-29
27,6,1,2024-08-31
27,7,0,
28,1,1,2024-07-01
28,2,1,2024-07-06
28,3,0,
29,1,1,2024-04-02
29,2,0,
30,1,1,2024-07-28
30,2,1,2024-07-31
30,3,1,2024-08-05
30,4,1,2024-08-06
30,5,1,2024-08-07
30,6,0,
31,1,1,2024-09-06
31,2,0,
32,1,1,2024-02-26
32,2,1,2024-03-01
32,3,1,2024-03-02
32,4,1,2024-03-05
32,5,1,2024-03-07
32,6,0,
33,1,1,2024-04-21
33,2,1,2024-04-22
33,3,1,2024-04-27
33,4,1,2024-05-02
33,5,1,2024-05-05
33,6,1,2024-05-06
33,7,1,2024-05-08
33,8,1,2024-05-09
33,9,1,2024-05-14
33,10,1,2024-05-19
33,11,1,2024-05-22
33,12,0,
34,1,1,2024-10-28
34,2,1,2024-11-01
34,3,0,
35,1,1,2024-09-14
35,2,1,2024-09-20
35,3,0,
36,1,1,2024-01-23
36,2,1,2024-01-25
36,3,1,2024-01-27
36,4,1,2024-01-30
36,5,1,2024-02-04
36,6,1,2024-02-08
36,7,1,2024-02-11
36,8,1,2024-02-14
36,9,1,2024-02-15
36,10,0,
37,1,1,2024-01-26
37,2,1,2024-02-01
37,3,1,2024-02-02
37,4,1,2024-02-08
37,5,1,2024-02-14
37,6,1,2024-02-16
37,7,1,2024-02-17
37,8,1,2024-02-19
37,9,1,2024-02-22
37,10,0,
38,1,1,2024-02-27
38,2,0,
39,1,0,
40,1,1,2024-09-23
40,2,1,2024-09-29
40,3,1,2024-10-04
40,4,1,2024-10-05
40,5,0,
41,1,0,
42,1,1,2024-09-03
42,2,1,2024-09-05
42,3,0,
43,1,1,2024-03-23
43,2,1,2024-03-29
43,3,1,2024-04-04
43,4,1,2024-04-06
43,5,1,2024-04-07
43,6,1,2024-04-10
43,7,1,2024-04-14
43,8,0,
44,1,1,2024-10-17
44,2,1,2024-10-23
44,3,1,2024-10-27
44,4,1,2024-10-31
44,5,1,2024-11-02
44,6,1,2024-11-07
44,7,0,
45,1,1,2024-10-24
45,2,1,2024-10-25
45,3,1,2024-10-29
45,4,0,
46,1,1,2024-05-28
46,2,1,2024-05-31
46,3,1,2024-06-01
46,4,1,2024-06-03
46,5,1,2024-06-07
46,6,0,
47,1,1,2024-06-02
47,2,1,2024-06-06
47,3,1,2024-06-07
47,4,0,
48,1,1,2024-04-18
48,2,1,2024-04-20
48,3,0,
49,1,1,2024-04-24
49,2,1,2024-04-28
49,3,1,2024-05-04
49,4,0,
50,1,1,2024-06-13
50,2,1,2024-06-16
50,3,1,2024-06-19
50,4,1,2024-06-24
50,5,0,
51,1,1,2024-05-02
51,2,1,2024-05-06
51,3,1,2024-05-10
51,4,0,
52,1,1,2024-01-12
52,2,1,2024-01-16
52,3,1,2024-01-20
52,4,1,2024-01-26
52,5,0,
53,1,0,
54,1,0,
55,1,1,2024-05-19
55,2,1,2024-05-21
55,3,1,2024-05-27
55,4,1,2024-06-02
55,5,1,2024-06-04
55,6,1,2024-06-07
55,7,1,2024-06-11
55,8,1,2024-06-13
55,9,1,2024-06-14
55,10,1,2024-06-15
55,11,1,2024-06-20
55,12,1,2024-06-26
56,1,1,2024-08-18
56,2,1,2024-08-19
56,3,1,2024-08-21
56,4,1,2024-08-25
56,5,1,2024-08-29
56,6,1,2024-08-31
56,7,1,2024-09-05
56,8,0,
57,1,1,2024-01-10
57,2,1,2024-01-14
57,3,1,2024-01-16
57,4,0,
58,1,1,2024-06-25
58,2,0,
59,1,1,2024-08-25
59,2,1,2024-08-27
59,3,1,2024-08-30
59,4,1,2024-09-03
