trip_id,driver_id,start_ts,end_ts,distance_km,fare,rating
1,298,2024-02-15T19:02,2024-02-15T19:20,8.7,14.27,3.7
2,119,2024-03-07T12:31,2024-03-07T12:36,2.6,5.61,4.8
3,94,2024-03-16T18:20,2024-03-16T18:50,18.6,26.96,3.5
4,171,2024-04-29T20:22,2024-04-29T20:54,14.9,23.19,3.8
5,63,2024-02-13T20:00,2024-02-13T20:44,27.1,38.41,4.3
6,347,2024-03-25T08:20,2024-03-25T08:54,20.3,29.43,3.4
7,117,2024-02-25T15:37,2024-02-25T16:30,37.1,50.76,3.3
8,132,2024-03-12T05:45,2024-03-12T06:40,24,36.65,4.2
9,158,2024-02-22T15:55,2024-02-22T16:05,3.5,7.35,4.5
10,364,2024-02-24T16:29,2024-02-24T17:10,15.1,24.76,4.1
11,271,2024-02-20T14:33,2024-02-20T14:59,14.8,22.18,4.1
12,176,2024-04-19T18:20,2024-04-19T19:10,28.6,40.96,3.3
13,374,2024-04-15T14:48,2024-04-15T15:02,8.8,13.78,3.4
14,124,2024-01-08T13:14,2024-01-08T13:30,8.6,13.86,3.5
15,316,2024-02-22T16:44,2024-02-22T17:32,29,41.1,3.2
16,156,2024-03-28T11:15,2024-03-28T11:23,4.1,7.71,4.5
17,315,2024-02-15T16:38,2024-02-15T17:27,14.7,25.52,4.8
18,345,2024-02-12T18:52,2024-02-12T19:27,22,31.45,4.6
19,136,2024-02-23T08:09,2024-02-23T08:47,15.4,24.64,4.4
20,55,2024-01-24T06:30,2024-01-24T06:35,3.4,6.49,3.4
21,298,2024-02-04T11:55,2024-02-04T12:46,17.3,28.68,3.6
22,66,2024-02-01T17:22,2024-02-01T17:56,23.8,33.28,4.5
23,302,2024-03-08T14:35,2024-03-08T14:42,3.1,6.46,4.8
24,302,2024-01-13T17:18,2024-01-13T17:37,12.7,18.82,3.2
25,178,2024-02-15T19:03,2024-02-15T19:54,16.4,27.69,4.2
26,325,2024-02-24T06:25,2024-02-24T06:30,2.1,5.06,3.8
27,151,2024-04-23T12:13,2024-04-23T12:32,8.1,13.76,3.5
28,209,2024-02-06T17:11,2024-02-06T17:45,12.4,20.74,3.4
29,96,2024-01-25T09:52,2024-01-25T10:22,14.5,22.45,4.0
30,367,2024-04-28T10:55,2024-04-28T11:20,17.5,25,4.0
31,208,2024-01-20T10:13,2024-01-20T10:18,2.1,5.06,3.1
32,148,2024-01-22T06:18,2024-01-22T06:33,8.7,13.82,3.2
33,353,2024-01-01T07:28,2024-01-01T07:54,12.4,19.54,4.1
34,373,2024-01-10T09:59,2024-01-10T10:09,5.3,9.33,5.0
35,114,2024-01-20T05:07,2024-01-20T05:51,28.9,40.39,3.7
36,235,2024-01-16T07:39,2024-01-16T08:00,10.5,16.7,4.2
37,10,2024-01-23T05:34,2024-01-23T06:18,20.1,30.71,4.6
38,364,2024-02-13T20:15,2024-02-13T20:43,10.3,17.53,3.5
39,295,2024-01-15T12:10,2024-01-15T12:36,9.5,16.35,4.8
40,86,2024-02-08T14:16,2024-02-08T14:46,19,27.4,4.1
41,140,2024-02-05T08:59,2024-02-05T09:28,15.2,23.07,3.7
42,181,2024-04-19T09:04,2024-04-19T09:59,25.8,38.63,4.7
43,244,2024-04-27T17:41,2024-04-27T17:59,9.8,15.48,4.5
44,294,2024-01-31T09:27,2024-01-31T10:20,23.1,35.36,4.2
45,366,2024-04-06T12:50,2024-04-06T13:45,22.5,35,3.3
