date,store,category,sku,movement_type,qty,counted_delta
2024-01-01,S1,Apparel,AP-790,count,0,-2
2024-01-01,S1,Grocery,GR-847,return,1,0
2024-01-01,S1,Grocery,GR-906,sale,-1,0
2024-01-01,S1,Grocery,GR-341,count,0,0
2024-01-01,S1,Grocery,GR-749,receipt,38,0
2024-01-01,S1,Home,HO-111,sale,-4,0
2024-01-01,S1,Grocery,GR-626,sale,-2,0
2024-01-01,S1,Electronics,EL-545,sale,-3,0
2024-01-01,S1,Grocery,GR-824,count,0,-1
2024-01-01,S1,Home,HO-983,sale,-5,0
2024-01-01,S1,Electronics,EL-137,count,0,2
2024-01-01,S1,Grocery,GR-529,sale,-4,0
2024-01-01,S1,Electronics,EL-299,sale,-6,0
2024-01-01,S1,Apparel,AP-253,count,0,2
2024-01-01,S1,Apparel,AP-120,sale,-5,0
2024-01-01,S2,Apparel,AP-134,sale,-3,0
2024-01-01,S2,Grocery,GR-681,sale,-6,0
2024-01-01,S2,Grocery,GR-161,sale,-4,0
2024-01-01,S2,Home,HO-603,sale,-5,0
2024-01-01,S2,Electronics,EL-278,return,2,0
2024-01-01,S2,Home,HO-550,return,1,0
2024-01-01,S2,Apparel,AP-441,sale,-1,0
2024-01-01,S2,Home,HO-473,sale,-5,0
2024-01-01,S2,Home,HO-657,sale,-6,0
2024-01-01,S2,Electronics,EL-247,sale,-1,0
2024-01-01,S2,Home,HO-794,count,0,-1
2024-01-01,S2,Home,HO-743,receipt,56,0
2024-01-01,S2,Apparel,AP-676,sale,-1,0
2024-01-01,S2,Electronics,EL-690,sale,-1,0
2024-01-01,S2,Home,HO-456,receipt,28,0
2024-01-01,S3,Apparel,AP-764,sale,-1,0
2024-01-01,S3,Home,HO-777,receipt,25,0
2024-01-01,S3,Electronics,EL-211,count,0,-5
2024-01-01,S3,Apparel,AP-165,return,1,0
2024-01-01,S3,Home,HO-674,sale,-2,0
2024-01-01,S3,Apparel,AP-512,return,1,0
2024-01-01,S3,Apparel,AP-771,receipt,53,0
2024-01-01,S3,Electronics,EL-103,sale,-2,0
2024-01-01,S3,Electronics,EL-985,sale,-6,0
2024-01-01,S3,Electronics,EL-299,sale,-2,0
2024-01-01,S3,Home,HO-755,sale,-6,0
2024-01-01,S4,Apparel,AP-921,sale,-4,0
2024-01-01,S4,Grocery,GR-185,sale,-1,0
2024-01-01,S4,Grocery,GR-326,sale,-6,0
2024-01-01,S4,Electronics,EL-214,receipt,24,0
2024-01-01,S4,Apparel,AP-414,receipt,24,0
2024-01-01,S4,Grocery,GR-677,receipt,42,0
2024-01-01,S4,Apparel,AP-217,count,0,1
2024-01-01,S4,Home,HO-353,count,0,-1
2024-01-01,S4,Home,HO-290,sale,-6,0
2024-01-01,S4,Home,HO-461,sale,-5,0
2024-01-01,S4,Grocery,GR-168,return,3,0
2024-01-01,S4,Electronics,EL-790,return,2,0
2024-01-01,S5,Apparel,AP-993,sale,-5,0
2024-01-01,S5,Apparel,AP-450,sale,-5,0
2024-01-01,S5,Home,HO-790,receipt,30,0
2024-01-01,S5,Apparel,AP-447,sale,-4,0
2024-01-01,S5,Electronics,EL-978,receipt,41,0
2024-01-01,S5,Grocery,GR-962,sale,-5,0
2024-01-01,S5,Home,HO-501,sale,-3,0
2024-01-01,S5,Home,HO-745,count,0,-1
2024-01-01,S5,Grocery,GR-193,count,0,1
2024-01-01,S5,Apparel,AP-575,sale,-1,0
2024-01-01,S5,Grocery,GR-195,sale,-5,0
2024-01-01,S5,Home,HO-593,sale,-6,0
2024-01-01,S5,Home,HO-362,count,0,1
2024-01-01,S5,Grocery,GR-621,return,1,0
2024-01-01,S5,Home,HO-943,sale,-2,0
2024-01-02,S1,Apparel,AP-178,sale,-5,0
2024-01-02,S1,Grocery,GR-267,count,0,2
2024-01-02,S1,Grocery,GR-937,receipt,31,0
2024-01-02,S1,Apparel,AP-916,sale,-4,0
2024-01-02,S1,Grocery,GR-211,sale,-4,0
2024-01-02,S1,Grocery,GR-491,return,3,0
2024-01-02,S1,Electronics,EL-859,sale,-4,0
2024-01-02,S1,Grocery,GR-618,receipt,54,0
2024-01-02,S1,Apparel,AP-143,count,0,-1
2024-01-02,S1,Electronics,EL-232,sale,-6,0
2024-01-02,S2,Grocery,GR-775,return,2,0
2024-01-02,S2,Home,HO-598,sale,-2,0
2024-01-02,S2,Electronics,EL-524,sale,-4,0
2024-01-02,S2,Electronics,EL-258,return,2,0
2024-01-02,S2,Apparel,AP-384,count,0,1
2024-01-02,S2,Home,HO-364,sale,-3,0
2024-01-02,S2,Home,HO-968,count,0,-1
2024-01-02,S2,Grocery,GR-397,sale,-2,0
2024-01-02,S2,Apparel,AP-603,return,1,0
2024-01-02,S2,Grocery,GR-917,sale,-4,0
2024-01-02,S2,Grocery,GR-442,count,0,-2
2024-01-02,S2,Home,HO-267,sale,-6,0
2024-01-02,S2,Home,HO-411,sale,-4,0
2024-01-02,S2,Electronics,EL-107,sale,-5,0
2024-01-02,S3,Home,HO-983,sale,-2,0
2024-01-02,S3,Apparel,AP-355,sale,-6,0
2024-01-02,S3,Home,HO-966,sale,-2,0
2024-01-02,S3,Grocery,GR-898,count,0,1
2024-01-02,S3,Apparel,AP-332,sale,-6,0
2024-01-02,S3,Home,HO-887,count,0,-1
2024-01-02,S3,Home,HO-822,count,0,-2
2024-01-02,S3,Grocery,GR-989,return,1,0
2024-01-02,S3,Grocery,GR-600,sale,-5,0
2024-01-02,S3,Electronics,EL-841,return,2,0
2024-01-02,S3,Grocery,GR-369,receipt,25,0
2024-01-02,S4,Home,HO-863,sale,-1,0
2024-01-02,S4,Electronics,EL-570,sale,-1,0
2024-01-02,S4,Home,HO-206,sale,-6,0
2024-01-02,S4,Grocery,GR-238,sale,-5,0
