account_id,signup_date,plan,seats
1,2024-09-29,business,7
2,2024-05-13,team,25
3,2024-06-21,team,33
4,2024-07-05,team,32
5,2024-07-14,team,21
6,2024-01-14,enterprise,22
7,2024-06-14,business,31
8,2024-11-17,team,6
9,2024-09-20,enterprise,37
10,2024-04-06,business,23
11,2024-11-19,enterprise,32
12,2024-01-29,team,34
13,2024-04-08,team,40
14,2024-11-13,enterprise,21
15,2024-04-12,enterprise,31
16,2024-01-16,team,25
17,2024-04-29,team,36
18,2024-02-17,team,3
19,2024-10-03,team,27
20,2024-11-08,team,32
21,2024-07-18,team,17
22,2024-04-13,enterprise,7
23,2024-11-25,enterprise,5
24,2024-05-04,enterprise,10
25,2024-03-21,enterprise,37
26,2024-07-06,team,40
27,2024-06-06,business,25
28,2024-05-25,team,35
29,2024-07-23,enterprise,9
30,2024-01-22,business,33
31,2024-08-21,team,16
32,2024-03-30,business,16
33,2024-04-26,business,8
34,2024-11-08,business,24
35,2024-06-21,team,28
36,2024-01-03,enterprise,10
37,2024-05-29,business,8
38,2024-01-24,enterprise,3
39,2024-02-16,team,24
40,2024-07-18,team,28
41,2024-08-12,team,38
42,2024-07-08,enterprise,11
43,2024-10-27,enterprise,6
44,2024-07-03,team,34
45,2024-04-04,enterprise,34
46,2024-08-27,enterprise,26
47,2024-01-19,enterprise,13
48,2024-04-22,enterprise,34
49,2024-01-14,team,28
50,2024-04-23,team,21
51,2024-08-03,team,40
52,2024-07-27,team,6
53,2024-10-31,business,19
54,2024-08-02,team,30
55,2024-06-02,team,36
56,2024-07-12,team,32
57,2024-11-10,enterprise,16
58,2024-08-19,business,38
59,2024-09-01,business,17
60,2024-04-15,business,15
61,2024-10-10,enterprise,11
62,2024-09-19,team,7
63,2024-07-21,business,26
64,2024-03-22,enterprise,16
65,2024-01-11,team,27
66,2024-02-02,business,32
67,2024-08-16,business,27
68,2024-10-12,enterprise,40
69,2024-02-12,enterprise,23
70,2024-08-18,team,2
71,2024-03-16,business,25
72,2024-02-29,team,18
73,2024-07-21,business,3
74,2024-07-01,enterprise,18
75,2024-02-25,business,34
76,2024-01-14,business,25
77,2024-07-19,team,4
78,2024-10-16,team,7
79,2024-03-20,business,32
80,2024-03-28,enterprise,4
81,2024-03-25,team,31
82,2024-01-07,enterprise,7
83,2024-07-27,enterprise,37
84,2024-07-08,team,27
85,2024-10-31,enterprise,22
86,2024-05-11,enterprise,3
87,2024-03-10,business,7
88,2024-01-07,business,14
89,2024-09-13,business,24
90,2024-06-17,team,4
91,2024-05-29,business,31
92,2024-08-07,team,33
93,2024-03-30,team,23
94,2024-06-04,business,35
95,2024-06-11,enterprise,34
96,2024-05-27,team,34
97,2024-09-04,enterprise,19
98,2024-07-10,team,36
99,2024-01-11,enterprise,30
100,2024-01-11,enterprise,8
101,2024-11-06,team,13
102,2024-05-25,enterprise,3
103,2024-03-01,team,40
104,2024-08-01,team,9
105,2024-07-02,business,24
106,2024-10-17,team,19
107,2024-03-10,team,24
108,2024-05-24,business,8
109,2024-07-29,business,26
110,2024-04-03,business,19
111,2024-10-08,team,28
112,2024-06-28,team,11
113,2024-04-13,business,23
114,2024-05-18,team,18
115,2024-01-04,business,24
116,2024-05-20,team,13
117,2024-10-17,enterprise,40
118,2024-06-30,team,4
119,2024-05-16,team,17
120,2024-09-05,team,30
121,2024-08-01,team,21
122,2024-10-04,enterprise,11
123,2024-08-26,business,12
124,2024-05-07,business,28
125,2024-07-24,enterprise,6
126,2024-02-28,team,29
127,2024-04-18,business,33
128,2024-07-25,enterprise,24
129,2024-11-13,enterprise,14
130,2024-01-25,enterprise,9
131,2024-08-20,enterprise,32
132,2024-03-12,enterprise,17
133,2024-09-15,business,19
134,2024-06-25,team,13
135,2024-09-16,business,8
136,2024-10-07,team,15
137,2024-09-02,enterprise,5
138,2024-05-27,business,16
139,2024-01-02,business,2
140,2024-04-18,enterprise,8
141,2024-09-20,business,38
142,2024-07-03,enterprise,21
143,2024-06-09,team,18
144,2024-01-03,business,18
145,2024-11-11,enterprise,34
146,2024-04-07,team,11
147,2024-09-20,team,19
148,2024-10-26,enterprise,39
149,2024-10-18,business,21
150,2024-02-08,business,32
151,2024-10-24,enterprise,21
152,2024-05-31,team,31
153,2024-06-06,enterprise,4
154,2024-04-23,team,14
155,2024-08-10,team,17
156,2024-04-23,business,35
157,2024-03-18,business,25
158,2024-04-25,enterprise,12
159,2024-02-21,enterprise,11
160,2024-03-14,team,16
161,2024-05-01,team,25
162,2024-05-26,team,33
163,2024-06-08,team,14
164,2024-04-28,business,4
165,2024-11-15,team,10
166,2024-09-12,business,4
167,2024-11-08,enterprise,4
168,2024-04-26,team,26
169,2024-06-27,team,8
170,2024-09-30,team,13
171,2024-07-24,team,6
172,2024-03-09,team,20
173,2024-04-30,enterprise,8
174,2024-08-26,team,10
175,2024-04-26,team,35
176,2024-08-22,enterprise,30
177,2024-06-10,team,15
178,2024-09-26,team,8
179,2024-06-09,enterprise,31
180,2024-10-02,business,15
181,2024-06-02,team,8
182,2024-09-09,team,3
183,2024-02-04,business,6
184,2024-01-06,team,12
185,2024-01-28,enterprise,9
186,2024-07-19,team,4
187,2024-07-06,enterprise,9
188,2024-02-10,business,33
189,2024-09-16,enterprise,27
190,2024-09-21,enterprise,38
191,2024-07-21,enterprise,33
192,2024-02-17,team,4
193,2024-07-09,team,35
194,2024-11-03,enterprise,29
195,2024-11-11,team,14
196,2024-02-28,team,2
197,2024-11-24,business,37
198,2024-03-09,team,24
199,2024-02-06,business,3
200,2024-07-24,team,27
201,2024-01-05,team,18
202,2024-08-01,enterprise,7
203,2024-06-25,team,20
204,2024-08-24,team,30
205,2024-11-03,business,27
206,2024-09-20,team,25
207,2024-09-10,team,20
208,2024-07-02,team,34
209,2024-08-04,team,11
210,2024-10-24,team,40
211,2024-08-31,team,7
212,2024-11-14,enterprise,28
213,2024-09-13,business,14
214,2024-05-07,enterprise,25
215,2024-04-20,team,28
216,2024-08-20,business,31
217,2024-03-30,enterprise,17
218,2024-02-11,enterprise,19
219,2024-02-19,business,8
220,2024-07-18,business,29
221,2024-05-22,team,6
222,2024-05-18,business,26
223,2024-09-03,business,33
224,2024-08-08,team,15
225,2024-06-10,business,24
226,2024-10-19,enterprise,13
227,2024-10-18,team,24
228,2024-03-14,business,36
229,2024-09-08,team,9
230,2024-07-11,team,33
231,2024-05-12,team,10
232,2024-07-15,team,37
233,2024-05-15,team,4
234,2024-08-11,team,5
235,2024-09-16,enterprise,3
236,2024-07-13,team,11
237,2024-06-22,team,26
238,2024-03-08,team,24
239,2024-10-11,team,39
240,2024-08-01,business,11
241,2024-07-25,team,30
242,2024-02-22,business,37
243,2024-07-28,enterprise,33
244,2024-08-11,business,31
245,2024-06-05,team,34
246,2024-06-01,business,9
247,2024-03-19,team,33
248,2024-04-10,team,11
249,2024-04-18,team,9
250,2024-01-21,team,28
251,2024-01-26,enterprise,27
252,2024-09-25,team,40
253,2024-01-24,team,12
254,2024-01-22,enterprise,26
255,2024-05-23,business,11
256,2024-03-27,team,15
257,2024-01-26,team,32
258,2024-09-01,team,9
259,2024-03-18,team,4
260,2024-01-27,team,12
261,2024-11-13,business,22
262,2024-01-28,business,27
263,2024-10-03,team,36
264,2024-06-01,business,11
265,2024-03-21,enterprise,6
266,2024-07-31,business,16
267,2024-06-26,team,18
268,2024-07-09,team,20
269,2024-02-11,team,20
270,2024-04-08,enterprise,32
271,2024-03-04,team,8
272,2024-10-18,team,14
273,2024-02-03,team,18
274,2024-10-11,team,29
275,2024-04-25,team,22
276,2024-04-25,enterprise,18
277,2024-08-26,team,16
278,2024-03-20,business,5
279,2024-01-15,enterprise,12
280,2024-05-27,team,2
281,2024-07-08,enterprise,5
282,2024-09-25,enterprise,33
283,2024-05-26,enterprise,40
284,2024-02-12,team,10
285,2024-04-24,team,2
286,2024-10-08,team,24
287,2024-04-12,team,8
288,2024-10-28,team,13
289,2024-10-11,team,28
290,2024-07-26,team,32
291,2024-08-20,team,29
292,2024-06-16,team,15
293,2024-02-15,business,3
294,2024-11-24,team,37
295,2024-05-26,team,37
296,2024-11-10,team,2
297,2024-05-15,team,23
298,2024-06-19,team,11
299,2024-11-04,business,33
300,2024-09-04,enterprise,4
301,2024-01-06,team,36
302,2024-08-12,team,4
303,2024-05-29,enterprise,4
304,2024-01-29,business,12
305,2024-07-22,business,21
306,2024-08-12,enterprise,18
307,2024-02-20,team,18
308,2024-02-11,enterprise,10
309,2024-01-29,team,24
310,2024-06-15,team,28
311,2024-05-10,team,14
312,2024-03-30,team,17
313,2024-06-29,team,4
314,2024-10-01,team,2
315,2024-10-19,team,36
316,2024-02-16,enterprise,40
317,2024-04-13,team,18
318,2024-06-24,team,36
319,2024-08-30,enterprise,13
320,2024-10-10,team,39
321,2024-02-28,business,16
322,2024-01-14,enterprise,35
323,2024-08-17,team,3
324,2024-02-08,team,35
325,2024-09-02,business,15
326,2024-06-16,enterprise,15
327,2024-10-27,enterprise,7
