account_id,event_date,event_type
1,2024-09-29,start
1,2024-12-11,cancel
2,2024-05-13,start
2,2024-11-28,cancel
3,2024-06-21,start
4,2024-07-05,start
4,2024-07-29,cancel
5,2024-07-14,start
5,2024-12-22,cancel
6,2024-01-14,start
6,2024-10-22,cancel
7,2024-06-14,start
7,2024-12-25,pause
8,2024-11-17,start
9,2024-09-20,start
9,2024-12-03,cancel
10,2024-04-06,start
10,2024-07-23,pause
10,2024-09-28,resume
11,2024-11-19,start
12,2024-01-29,start
12,2024-06-16,cancel
13,2024-04-08,start
13,2024-05-19,pause
13,2024-08-02,resume
13,2024-11-05,pause
14,2024-11-13,start
15,2024-04-12,start
15,2024-07-22,pause
15,2024-10-01,resume
16,2024-01-16,start
16,2024-07-23,cancel
17,2024-04-29,start
17,2024-05-22,pause
17,2024-07-01,resume
17,2024-09-04,pause
17,2024-11-15,resume
17,2024-12-05,pause
18,2024-02-17,start
18,2024-11-17,cancel
19,2024-10-03,start
20,2024-11-08,start
21,2024-07-18,start
22,2024-04-13,start
22,2024-08-26,pause
22,2024-11-20,resume
23,2024-11-25,start
24,2024-05-04,start
24,2024-10-15,pause
24,2024-12-24,resume
25,2024-03-21,start
25,2024-06-29,cancel
26,2024-07-06,start
27,2024-06-06,start
27,2024-07-11,cancel
28,2024-05-25,start
28,2024-08-29,pause
28,2024-10-09,resume
29,2024-07-23,start
29,2024-08-22,cancel
30,2024-01-22,start
31,2024-08-21,start
32,2024-03-30,start
33,2024-04-26,start
33,2024-10-28,pause
34,2024-11-08,start
35,2024-06-21,start
36,2024-01-03,start
36,2024-03-08,cancel
37,2024-05-29,start
37,2024-08-06,pause
37,2024-10-17,resume
38,2024-01-24,start
39,2024-02-16,start
39,2024-10-04,cancel
40,2024-07-18,start
40,2024-10-05,cancel
41,2024-08-12,start
42,2024-07-08,start
43,2024-10-27,start
44,2024-07-03,start
44,2024-12-13,cancel
45,2024-04-04,start
45,2024-10-04,pause
46,2024-08-27,start
47,2024-01-19,start
48,2024-04-22,start
48,2024-09-23,pause
48,2024-11-09,resume
48,2024-12-23,pause
49,2024-01-14,start
50,2024-04-23,start
50,2024-06-20,pause
50,2024-09-09,resume
51,2024-08-03,start
52,2024-07-27,start
53,2024-10-31,start
54,2024-08-02,start
55,2024-06-02,start
55,2024-07-31,pause
55,2024-10-14,resume
56,2024-07-12,start
56,2024-09-24,cancel
57,2024-11-10,start
58,2024-08-19,start
59,2024-09-01,start
59,2024-12-22,cancel
60,2024-04-15,start
61,2024-10-10,start
61,2024-11-15,cancel
62,2024-09-19,start
63,2024-07-21,start
63,2024-12-25,cancel
64,2024-03-22,start
64,2024-09-15,cancel
65,2024-01-11,start
65,2024-08-30,cancel
66,2024-02-02,start
66,2024-07-17,cancel
67,2024-08-16,start
67,2024-10-18,cancel
68,2024-10-12,start
69,2024-02-12,start
69,2024-09-19,cancel
70,2024-08-18,start
71,2024-03-16,start
72,2024-02-29,start
72,2024-07-30,cancel
73,2024-07-21,start
74,2024-07-01,start
74,2024-07-24,cancel
75,2024-02-25,start
76,2024-01-14,start
77,2024-07-19,start
78,2024-10-16,start
79,2024-03-20,start
79,2024-05-28,cancel
80,2024-03-28,start
80,2024-11-19,cancel
81,2024-03-25,start
81,2024-11-10,cancel
82,2024-01-07,start
83,2024-07-27,start
83,2024-10-19,cancel
84,2024-07-08,start
84,2024-11-05,cancel
85,2024-10-31,start
86,2024-05-11,start
86,2024-08-17,cancel
87,2024-03-10,start
88,2024-01-07,start
88,2024-10-26,cancel
89,2024-09-13,start
89,2024-12-11,cancel
90,2024-06-17,start
90,2024-10-07,pause
91,2024-05-29,start
91,2024-08-12,pause
91,2024-09-12,resume
91,2024-10-12,pause
92,2024-08-07,start
93,2024-03-30,start
93,2024-10-04,cancel
94,2024-06-04,start
94,2024-08-02,pause
94,2024-10-12,resume
94,2024-12-18,pause
95,2024-06-11,start
95,2024-07-28,cancel
96,2024-05-27,start
96,2024-09-16,pause
96,2024-11-21,resume
97,2024-09-04,start
97,2024-12-02,cancel
98,2024-07-10,start
99,2024-01-11,start
100,2024-01-11,start
100,2024-05-24,cancel
101,2024-11-06,start
102,2024-05-25,start
102,2024-11-19,pause
103,2024-03-01,start
103,2024-12-20,cancel
104,2024-08-01,start
105,2024-07-02,start
106,2024-10-17,start
107,2024-03-10,start
108,2024-05-24,start
108,2024-11-01,pause
108,2024-12-12,resume
109,2024-07-29,start
110,2024-04-03,start
110,2024-10-24,pause
111,2024-10-08,start
111,2024-12-05,cancel
112,2024-06-28,start
112,2024-08-22,cancel
113,2024-04-13,start
113,2024-07-08,pause
113,2024-08-10,resume
113,2024-09-13,pause
113,2024-12-02,resume
114,2024-05-18,start
114,2024-07-12,pause
114,2024-08-20,resume
115,2024-01-04,start
115,2024-02-23,cancel
116,2024-05-20,start
116,2024-12-07,pause
117,2024-10-17,start
118,2024-06-30,start
119,2024-05-16,start
119,2024-06-24,pause
119,2024-09-02,resume
120,2024-09-05,start
121,2024-08-01,start
122,2024-10-04,start
122,2024-11-22,cancel
123,2024-08-26,start
124,2024-05-07,start
124,2024-09-13,pause
124,2024-11-04,resume
125,2024-07-24,start
126,2024-02-28,start
127,2024-04-18,start
127,2024-11-14,pause
128,2024-07-25,start
128,2024-10-08,cancel
129,2024-11-13,start
130,2024-01-25,start
130,2024-03-29,cancel
131,2024-08-20,start
132,2024-03-12,start
132,2024-07-19,cancel
133,2024-09-15,start
134,2024-06-25,start
134,2024-09-07,pause
134,2024-10-15,resume
135,2024-09-16,start
135,2024-11-29,cancel
136,2024-10-07,start
137,2024-09-02,start
138,2024-05-27,start
138,2024-09-01,pause
138,2024-10-30,resume
139,2024-01-02,start
139,2024-02-27,cancel
140,2024-04-18,start
140,2024-09-24,cancel
141,2024-09-20,start
142,2024-07-03,start
143,2024-06-09,start
143,2024-07-20,pause
143,2024-09-10,resume
143,2024-10-28,pause
143,2024-12-18,resume
144,2024-01-03,start
145,2024-11-11,start
146,2024-04-07,start
146,2024-05-25,cancel
147,2024-09-20,start
148,2024-10-26,start
149,2024-10-18,start
150,2024-02-08,start
150,2024-11-07,cancel
151,2024-10-24,start
152,2024-05-31,start
152,2024-07-05,cancel
153,2024-06-06,start
153,2024-12-16,pause
154,2024-04-23,start
154,2024-09-24,pause
154,2024-11-30,resume
155,2024-08-10,start
155,2024-12-22,cancel
156,2024-04-23,start
156,2024-09-30,cancel
157,2024-03-18,start
157,2024-07-11,cancel
158,2024-04-25,start
158,2024-06-06,cancel
159,2024-02-21,start
159,2024-05-20,cancel
160,2024-03-14,start
161,2024-05-01,start
162,2024-05-26,start
162,2024-06-28,pause
162,2024-09-25,resume
163,2024-06-08,start
163,2024-09-22,pause
163,2024-10-24,resume
163,2024-11-22,pause
164,2024-04-28,start
164,2024-12-23,pause
165,2024-11-15,start
166,2024-09-12,start
167,2024-11-08,start
168,2024-04-26,start
168,2024-05-26,pause
168,2024-08-17,resume
168,2024-09-26,pause
168,2024-12-12,resume
169,2024-06-27,start
169,2024-10-21,pause
169,2024-11-25,resume
170,2024-09-30,start
171,2024-07-24,start
171,2024-08-18,cancel
172,2024-03-09,start
173,2024-04-30,start
173,2024-06-19,pause
173,2024-09-08,resume
173,2024-11-16,pause
174,2024-08-26,start
175,2024-04-26,start
175,2024-09-27,pause
175,2024-11-18,resume
176,2024-08-22,start
177,2024-06-10,start
178,2024-09-26,start
179,2024-06-09,start
179,2024-08-31,pause
179,2024-11-17,resume
179,2024-12-11,pause
180,2024-10-02,start
181,2024-06-02,start
181,2024-07-17,pause
181,2024-09-09,resume
181,2024-10-10,pause
181,2024-12-23,resume
182,2024-09-09,start
182,2024-12-04,cancel
183,2024-02-04,start
184,2024-01-06,start
184,2024-03-18,cancel
185,2024-01-28,start
186,2024-07-19,start
187,2024-07-06,start
187,2024-09-16,cancel
188,2024-02-10,start
188,2024-03-08,cancel
189,2024-09-16,start
190,2024-09-21,start
191,2024-07-21,start
192,2024-02-17,start
192,2024-04-18,cancel
193,2024-07-09,start
194,2024-11-03,start
195,2024-11-11,start
196,2024-02-28,start
196,2024-07-30,cancel
197,2024-11-24,start
198,2024-03-09,start
199,2024-02-06,start
199,2024-07-04,cancel
200,2024-07-24,start
201,2024-01-05,start
201,2024-03-27,cancel
202,2024-08-01,start
203,2024-06-25,start
203,2024-08-31,cancel
204,2024-08-24,start
204,2024-10-19,cancel
205,2024-11-03,start
206,2024-09-20,start
206,2024-11-23,cancel
207,2024-09-10,start
208,2024-07-02,start
209,2024-08-04,start
209,2024-10-24,cancel
210,2024-10-24,start
211,2024-08-31,start
212,2024-11-14,start
213,2024-09-13,start
214,2024-05-07,start
214,2024-07-12,pause
214,2024-08-29,resume
214,2024-10-06,pause
215,2024-04-20,start
215,2024-06-06,pause
215,2024-08-28,resume
216,2024-08-20,start
217,2024-03-30,start
218,2024-02-11,start
219,2024-02-19,start
219,2024-04-29,cancel
220,2024-07-18,start
221,2024-05-22,start
221,2024-07-05,pause
221,2024-10-01,resume
222,2024-05-18,start
222,2024-09-19,pause
222,2024-11-15,resume
223,2024-09-03,start
224,2024-08-08,start
224,2024-09-10,cancel
225,2024-06-10,start
226,2024-10-19,start
227,2024-10-18,start
228,2024-03-14,start
229,2024-09-08,start
230,2024-07-11,start
231,2024-05-12,start
231,2024-08-15,pause
231,2024-09-22,resume
232,2024-07-15,start
233,2024-05-15,start
233,2024-09-25,pause
233,2024-11-12,resume
234,2024-08-11,start
234,2024-10-16,cancel
