po_id,supplier,created_date,promised_date,received_date,value,on_time
1,STARK,2024-04-02,2024-04-27,2024-04-22,13318,1
2,Umbrella Limited,2024-01-06,2024-01-28,2024-02-17,65355,0
3,GLOBEX,2024-09-26,2024-10-29,2024-11-08,12098,0
4,Soylent Ltd,2024-05-29,2024-06-13,2024-06-08,63133,1
5,Acme Ltd,2024-02-14,2024-03-22,2024-03-17,30650,1
6,Stark  Ltd.,2024-09-23,2024-10-09,2024-10-06,37935,1
7,Umbrella  Ltd.,2024-10-06,2024-11-06,2024-11-06,2816,1
8,Acme  Ltd.,2024-08-10,2024-08-18,2024-08-16,44089,1
9,Acme,2024-07-07,2024-07-29,2024-08-01,20902,0
10,Soylent Limited,2024-10-04,2024-11-07,2024-11-03,84618,1
11,Initech,2024-08-04,2024-09-11,2024-09-11,5639,1
12,UMBRELLA,2024-02-20,2024-02-29,2024-03-10,49706,0
13,Acme,2024-04-11,2024-05-13,2024-05-12,2659,1
14,Initech,2024-07-10,2024-07-07,2024-07-07,45148,1
15,UMBRELLA,2024-09-21,2024-10-07,2024-10-05,55235,1
16,Umbrella Limited,2024-01-04,2024-01-18,2024-01-13,34222,1
17,Soylent Ltd,2024-01-12,2024-02-06,2024-02-05,13725,1
18,Umbrella Limited,2024-01-06,2024-02-14,2024-02-10,63734,1
19,Globex,2024-06-17,2024-06-24,2024-06-22,88618,1
20,Globex Ltd,2024-02-26,2024-04-03,2024-04-01,76218,1
21,Stark  Ltd.,2024-01-19,2024-01-26,2024-01-22,84044,1
22,Globex Limited,2024-10-20,2024-11-28,2024-11-28,52053,1
23,UMBRELLA,2024-07-21,2024-08-25,2024-09-11,68530,0
24,SOYLENT,2024-05-30,2024-07-10,2024-07-06,15058,1
25,Stark  Ltd.,2024-04-10,2024-05-06,2024-05-01,22586,1
26,Stark,2024-09-14,2024-09-23,2024-10-09,38085,0
27,Stark,2024-02-04,2024-03-17,2024-03-12,23302,1
28,Globex,2024-05-06,2024-06-07,2024-06-14,69610,0
29,INITECH,2024-06-08,2024-07-14,2024-07-09,70943,1
30,Soylent Limited,2024-02-22,2024-03-08,2024-03-04,28832,1
31,Globex Limited,2024-09-14,2024-09-27,2024-10-17,5037,0
32,Umbrella  Ltd.,2024-01-02,2024-02-04,2024-02-01,79763,1
33,Initech Ltd,2024-05-06,2024-06-05,2024-06-22,46978,0
34,Soylent,2024-01-08,2024-01-29,2024-01-29,10321,1
35,SOYLENT,2024-10-10,2024-10-18,2024-10-13,89611,1
36,Acme,2024-09-22,2024-10-04,2024-10-01,43430,1
37,Soylent  Ltd.,2024-09-07,2024-10-18,2024-10-14,60829,1
38,Acme Ltd,2024-01-23,2024-02-08,2024-02-04,37103,1
39,UMBRELLA,2024-06-01,2024-06-13,2024-06-10,18671,1
40,Globex,2024-03-20,2024-04-21,2024-04-30,27048,0
41,Initech Limited,2024-07-26,2024-08-18,2024-08-17,67409,1
42,Acme  Ltd.,2024-06-23,2024-08-06,2024-08-06,53251,1
43,STARK,2024-08-13,2024-08-23,2024-08-19,5143,1
44,INITECH,2024-10-09,2024-11-02,2024-10-29,76077,1
45,Globex,2024-10-23,2024-11-04,2024-11-03,45401,1
46,Acme  Ltd.,2024-04-17,2024-05-02,2024-05-18,71361,0
47,Umbrella Limited,2024-10-15,2024-11-10,2024-11-06,17223,1
48,Soylent Ltd,2024-03-21,2024-04-04,2024-04-14,36001,0
49,SOYLENT,2024-08-26,2024-10-06,2024-10-03,86765,1
50,UMBRELLA,2024-09-04,2024-09-19,2024-09-19,83054,1
