txn_id,date,account_id,beneficiary_id,amount,channel
1,2024-03-07,1036,6513,73922,mobile
2,2024-03-03,3942,7195,92871,mobile
3,2024-04-14,3721,6608,47907,mobile
4,2024-05-11,2537,6420,150935,web
5,2024-03-28,1409,7021,64969,mobile
6,2024-04-21,2207,8158,87598,mobile
7,2024-01-23,255,6584,16415,branch
8,2024-01-05,1950,7196,25225,branch
9,2024-02-15,1055,6103,114034,branch
10,2024-05-20,3565,7752,63124,web
11,2024-01-25,1508,6711,31849,mobile
12,2024-06-19,2753,6844,259349,mobile
13,2024-04-04,384,8673,47010,web
14,2024-02-01,568,6441,276932,branch
15,2024-06-10,673,8162,82706,branch
16,2024-02-13,1063,8231,86446,web
17,2024-06-24,1652,5975,66510,branch
18,2024-02-24,3096,7321,146594,branch
19,2024-05-12,936,7017,139578,web
20,2024-03-25,889,5473,22470,web
21,2024-03-25,47,7915,355890,branch
22,2024-03-15,1320,6798,391389,branch
23,2024-06-13,2182,5541,20852,branch
24,2024-04-10,2406,5436,117342,web
25,2024-04-25,3910,8804,33880,mobile
26,2024-04-14,3119,5858,29282,mobile
27,2024-06-12,2751,7050,412608,branch
28,2024-01-10,1960,6360,15671,web
29,2024-01-25,1167,6098,9993,mobile
30,2024-02-27,743,5249,28301,mobile
31,2024-02-15,1814,6411,11743,web
32,2024-02-07,1095,7430,15558,branch
33,2024-02-10,2032,8694,56091,web
34,2024-02-03,2546,8892,87712,mobile
35,2024-01-22,917,5259,207192,branch
36,2024-03-14,2942,8090,333345,web
37,2024-05-20,1039,8320,43698,branch
38,2024-06-29,2594,8813,141723,branch
39,2024-03-07,266,5981,174443,mobile
40,2024-05-26,3254,8942,338105,branch
41,2024-05-10,2469,8626,9872,web
42,2024-04-02,1972,5939,288844,mobile
43,2024-05-21,2315,7526,147712,mobile
44,2024-01-17,429,7001,45633,mobile
45,2024-04-06,2240,7493,85656,web
46,2024-05-17,582,6046,81381,branch
47,2024-04-22,213,7118,220464,web
48,2024-04-07,2631,5730,32361,mobile
49,2024-01-07,1548,6104,95744,branch
50,2024-04-08,1778,8106,56043,web
51,2024-06-26,3284,8392,160150,mobile
52,2024-06-14,3043,6630,378399,web
53,2024-04-30,3845,8047,354926,mobile
54,2024-05-08,3782,6827,18539,branch
55,2024-02-02,1520,5118,309257,web
56,2024-03-02,1439,6687,411717,mobile
57,2024-05-31,295,6132,117866,web
58,2024-03-01,3703,6965,183168,branch
59,2024-06-17,3242,7641,398311,branch
60,2024-04-28,2720,7203,54710,web
61,2024-03-13,2526,5649,14102,web
62,2024-03-06,2503,8814,386263,web
63,2024-01-18,2765,6547,272190,mobile
64,2024-03-17,3094,5926,8336,branch
65,2024-06-29,2292,6895,18300,mobile
66,2024-02-09,992,8013,204859,mobile
67,2024-03-14,2695,5015,903517,web
68,2024-03-20,2322,8111,48452,branch
69,2024-06-21,610,6070,16675,mobile
70,2024-06-10,3762,5990,28019,web
71,2024-02-20,210,8813,37226,mobile
72,2024-06-01,369,7416,38183,mobile
73,2024-03-28,9,6039,181370,mobile
74,2024-06-01,3428,8789,48276,branch
75,2024-02-05,3371,5454,10663,branch
76,2024-02-21,3408,5010,11016,branch
77,2024-05-08,1549,5216,8458,mobile
78,2024-05-29,2912,5965,17627,web
79,2024-03-09,33,5242,32913,mobile
80,2024-04-07,940,8998,380666,web
81,2024-05-03,2212,5377,12369,mobile
82,2024-01-02,1404,6757,125822,web
83,2024-04-10,3336,6062,421651,branch
84,2024-03-21,145,6900,84018,branch
85,2024-03-25,3238,5973,36010,mobile
86,2024-06-04,3981,8699,41242,web
87,2024-04-12,2734,7019,84667,mobile
88,2024-05-31,2940,5521,31037,web
89,2024-02-16,3182,5486,366338,mobile
90,2024-02-06,949,8017,388266,web
91,2024-06-07,672,6109,12620,branch
92,2024-05-30,1167,6586,8802,web
93,2024-02-27,972,6799,13254,branch
94,2024-05-16,83,7853,23953,branch
95,2024-05-09,1902,6812,306535,web
96,2024-04-06,3725,8486,153991,branch
97,2024-06-01,1504,5657,13161,mobile
98,2024-01-16,96,5099,150357,branch
99,2024-02-18,510,5173,216731,web
100,2024-01-11,2451,5428,225764,mobile
101,2024-04-14,1360,6260,127517,branch
102,2024-03-11,2644,5694,42791,branch
103,2024-04-14,2711,5939,19069,mobile
104,2024-04-03,574,8312,392915,mobile
105,2024-05-10,1200,5075,189082,web
106,2024-03-16,1176,7156,25084,branch
107,2024-02-04,475,5300,422716,branch
108,2024-03-15,541,8635,73698,mobile
109,2024-04-04,388,8913,17311,branch
110,2024-04-02,1944,8194,249953,mobile
111,2024-05-05,51,6815,333888,branch
112,2024-03-17,1041,7751,8726,web
113,2024-04-12,2425,6329,298965,web
114,2024-04-28,1487,6190,9449,mobile
115,2024-04-23,2445,6071,350620,mobile
116,2024-05-06,2026,6791,201637,web
117,2024-04-30,742,8438,95553,web
118,2024-05-22,1902,8381,283335,web
119,2024-03-16,1916,8644,8726,mobile
120,2024-01-13,1558,5549,352014,mobile
121,2024-05-24,3416,8164,110067,mobile
122,2024-06-26,2207,7531,78168,web
123,2024-03-11,1560,6924,8584,web
124,2024-05-24,1270,7660,93839,web
125,2024-04-22,381,8026,11094,branch
126,2024-02-03,1118,5940,189212,branch
127,2024-06-19,2031,6365,74054,branch
128,2024-05-15,2285,6367,12481,branch
129,2024-03-18,1683,7495,421146,branch
130,2024-04-11,3554,8561,49391,mobile
131,2024-03-19,477,8724,107298,web
132,2024-01-26,2380,6212,9284,web
133,2024-04-05,353,6003,12406,mobile
134,2024-05-02,162,7070,30741,branch
135,2024-03-19,1739,8849,243130,branch
136,2024-02-21,2214,8937,141134,mobile
137,2024-04-07,2455,6659,18637,branch
138,2024-01-22,2206,5690,390060,branch
139,2024-02-22,883,6583,9827,mobile
140,2024-06-11,1443,8921,11795,web
141,2024-01-01,3869,6724,8954,branch
142,2024-02-08,3108,8579,13956,mobile
143,2024-02-11,1131,8343,15890,mobile
144,2024-06-18,2518,8478,106449,mobile
145,2024-02-20,2379,5930,94524,mobile
146,2024-06-11,2962,5588,78293,web
147,2024-03-28,246,5932,46113,mobile
148,2024-01-12,994,8296,9459,mobile
