claim_id,policy_region,claim_date,claim_type,amount
1,W,2024-02-28,auto,833
2,S,2024-01-08,travel,730
3,N,2024-11-09,health,883
4,S,2024-06-07,auto,636
5,E,2024-09-21,travel,674
6,W,2024-05-22,home,707
7,W,2024-03-23,auto,711
8,N,2024-09-24,travel,611
9,E,2024-11-17,home,716
10,W,2024-10-11,auto,518
11,S,2024-02-07,travel,771
12,N,2024-06-01,health,685
13,S,2024-07-19,health,436
14,S,2024-10-06,health,811
15,E,2024-04-26,health,515
16,S,2024-10-31,travel,537
17,W,2024-09-19,travel,737
18,N,2024-01-21,health,990
19,S,2024-04-12,home,756
20,S,2024-04-03,travel,970
21,E,2024-03-13,home,$961
22,E,2024-05-24,home,525
23,N,2024-03-30,health,721
24,S,2024-04-05,travel,666
25,W,2024-10-02,travel,532
26,W,2024-10-17,home,935
27,E,2024-03-05,health,614
29,N,2024-10-20,travel,460
30,W,2024-08-04,health,634
31,W,2024-11-24,auto,537
32,E,2024-01-29,health,572
33,E,2024-06-01,auto,498
34,W,2024-04-30,health,1092
35,W,2024-05-16,travel,598
37,S,2024-06-01,home,584
38,E,2024-11-05,auto,628
39,E,2024-01-07,home,510
40,N,2024-02-13,health,547
41,E,2024-07-24,health,690
42,W,2024-07-23,auto,USD 936
43,W,2024-03-12,travel,718
44,N,2024-11-04,home,516
45,S,2024-06-15,home,552
46,W,2024-11-26,health,552
47,W,2024-03-16,auto,780
48,S,2024-06-03,home,384
49,W,2024-06-15,health,484
50,N,2024-11-23,travel,779
51,N,2024-02-06,health,493
52,E,2024-07-05,auto,634
53,W,2024-10-03,health,807
55,W,2024-09-05,travel,488
56,E,2024-05-03,home,641
57,E,2024-06-30,health,650
58,W,2024-01-25,auto,559
59,E,2024-10-09,home,661
60,W,2024-05-05,health,868
61,N,2024-06-21,travel,1138
62,N,2024-07-28,health,614
63,E,2024-11-15,auto,777
64,S,2024-05-09,travel,753
65,N,2024-05-30,health,856
67,N,2024-05-28,home,$538
68,N,2024-06-28,travel,478
69,W,2024-10-18,health,649
70,N,2024-10-24,auto,909
71,S,2024-06-14,auto,800
72,E,2024-04-09,home,609
73,N,2024-02-23,auto,565
74,E,2024-01-12,auto,838
75,W,2024-02-18,auto,408
76,W,2024-06-02,home,625
77,E,2024-06-08,auto,691
78,E,2024-04-23,health,739
79,N,2024-03-20,auto,670
80,E,2024-02-18,health,1105
81,E,2024-10-11,health,707
82,W,2024-04-28,health,620
83,N,2024-05-31,travel,985
84,W,2024-09-22,auto,471
85,E,2024-02-16,auto,576
86,E,2024-11-08,home,532
87,W,2024-04-13,home,576
88,S,2024-03-09,auto,889
89,S,2024-11-24,health,$574
90,S,2024-08-31,auto,$805
91,W,2024-11-18,home,808
92,N,2024-08-01,travel,564
93,N,2024-02-12,travel,811
94,W,2024-10-31,auto,USD 893
95,S,2024-03-23,auto,765
96,W,2024-02-29,home,691
97,E,2024-07-03,health,781
98,W,2024-08-31,auto,464
99,E,2024-02-19,health,627
101,S,2024-09-22,home,546
102,E,2024-05-07,home,496
103,W,2024-01-05,health,439
104,W,2024-02-22,home,913
105,E,2024-03-22,health,647
106,S,2024-04-03,auto,586
107,N,2024-07-15,auto,800
108,E,2024-02-13,auto,827
109,N,2024-04-16,travel,558
110,W,2024-06-15,health,598
111,S,2024-10-26,health,942
112,N,2024-04-14,health,656
113,E,2024-10-21,health,981
114,E,2024-07-15,health,916
115,W,2024-07-18,auto,648
116,N,2024-04-19,travel,624
117,E,2024-02-14,travel,$516
118,W,2024-04-14,home,633
119,S,2024-05-25,home,478
120,S,2024-11-23,home,701
121,W,2024-11-16,travel,689
123,W,2024-05-08,home,651
124,S,2024-06-28,health,906
125,W,2024-06-12,auto,940
126,S,2024-04-14,health,712
127,N,2024-09-25,auto,$582
128,E,2024-04-12,health,646
129,W,2024-03-22,auto,538
130,E,2024-07-04,auto,928
131,E,2024-10-28,health,USD 529
132,E,2024-08-21,health,692
133,E,2024-11-02,travel,543
134,N,2024-09-22,auto,466
135,W,2024-03-21,health,709
136,S,2024-02-17,home,707
137,S,2024-05-28,health,725
138,N,2024-01-22,auto,$719
139,S,2024-07-09,auto,809
140,W,2024-01-29,travel,620
141,W,2024-02-10,home,785
142,N,2024-10-02,home,670
143,W,2024-09-14,home,562
145,E,2024-06-09,home,670
147,S,2024-01-19,travel,745
148,E,2024-04-23,health,524
149,N,2024-06-01,health,731
150,W,2024-09-29,auto,872
151,N,2024-05-12,home,613
152,S,2024-04-07,auto,800
153,N,2024-10-15,travel,589
154,S,2024-06-08,home,614
155,N,2024-08-24,auto,487
156,N,2024-03-20,home,476
157,E,2024-03-04,health,977
158,E,2024-02-10,auto,483
159,N,2024-06-26,auto,838
160,W,2024-11-08,health,816
161,E,2024-06-22,health,$822
162,W,2024-04-19,auto,516
163,E,2024-01-14,travel,624
164,E,2024-04-10,home,538
165,E,2024-07-25,home,$930
166,N,2024-09-29,home,593
167,S,2024-01-17,travel,642
168,W,2024-04-29,auto,432
169,N,2024-10-17,travel,495
170,E,2024-06-02,home,847
171,S,2024-01-08,travel,576
172,W,2024-04-10,home,589
173,E,2024-04-14,home,695
174,N,2024-03-26,auto,509
175,E,2024-01-20,travel,614
176,E,2024-05-29,auto,558
177,N,2024-07-19,travel,575
178,E,2024-04-24,travel,1047
180,S,2024-03-30,home,487
181,N,2024-01-23,auto,1004
182,E,2024-01-05,auto,1066
183,W,2024-11-06,health,731
184,N,2024-04-30,health,752
185,E,2024-08-02,health,783
186,W,2024-08-14,travel,838
187,E,2024-02-29,travel,605
188,E,2024-06-06,travel,782
190,E,2024-11-02,auto,773
191,E,2024-04-08,auto,726
192,E,2024-06-12,home,672
193,W,2024-02-28,travel,505
194,S,2024-05-27,travel,558
195,E,2024-07-15,health,686
196,S,2024-05-26,home,572
197,N,2024-03-18,auto,907
198,E,2024-01-29,travel,"$1,010"
199,S,2024-01-04,home,599
200,E,2024-06-11,travel,841
201,E,2024-07-26,health,693
202,N,2024-10-04,home,878
203,W,2024-02-15,auto,556
204,W,2024-11-09,home,734
205,S,2024-06-17,health,692
206,E,2024-10-01,home,504
207,S,2024-03-05,travel,916
208,E,2024-03-26,travel,423
210,W,2024-04-18,health,569
211,S,2024-01-18,home,877
212,S,2024-01-05,auto,USD 578
213,W,2024-07-07,home,1013
214,N,2024-09-02,health,744
215,S,2024-03-12,home,$521
216,W,2024-11-07,travel,892
217,W,2024-03-27,auto,754
218,S,2024-07-24,travel,962
219,S,2024-08-14,home,609
220,N,2024-03-20,auto,917
221,W,2024-04-27,auto,921
222,E,2024-11-21,health,USD 620
223,E,2024-02-25,home,737
224,S,2024-06-06,health,805
225,N,2024-08-06,health,676
226,S,2024-10-31,home,583
227,E,2024-07-11,auto,515
228,W,2024-05-31,health,659
229,N,2024-08-28,health,941
230,N,2024-06-06,auto,USD 957
231,N,2024-04-07,home,587
232,S,2024-03-12,health,945
233,N,2024-11-21,auto,783
234,N,2024-07-20,home,USD 766
235,E,2024-03-30,travel,837
236,N,2024-06-18,health,470
237,W,2024-09-01,auto,528
238,S,2024-01-18,health,688
239,N,2024-05-05,home,859
240,W,2024-10-30,health,639
241,N,2024-10-25,auto,695
242,S,2024-08-10,auto,420
243,N,2024-09-08,home,860
244,N,2024-08-10,travel,795
245,W,2024-07-05,travel,658
246,S,2024-09-10,home,807
247,E,2024-05-13,health,$460
248,E,2024-11-26,travel,516
