order_id,date,seller_id,seller_tier,gmv,fee
1,2024-10-21,999,pro,205.23,16.42
2,2024-05-24,2477,plus,180.61,23.48
3,2024-05-29,497,standard,71.48,10.72
4,2024-10-13,1131,standard,60.42,9.06
5,2024-08-04,896,standard,263.12,39.47
6,2024-01-31,2268,pro,132.76,10.62
7,2024-10-14,1656,plus,22.92,2.98
8,2024-04-24,2195,standard,26.79,4.02
9,2024-09-26,84,pro,74.79,5.98
10,2024-05-16,34,standard,299.04,44.86
11,2024-03-01,934,pro,161.09,12.89
12,2024-06-30,1592,plus,50.53,6.57
13,2024-08-16,1145,standard,106.3,15.94
14,2024-05-16,1203,plus,97.39,12.66
15,2024-06-16,777,pro,76.8,6.14
16,2024-03-13,2457,standard,28.4,4.26
17,2024-04-05,2950,pro,250.47,20.04
18,2024-09-01,2191,standard,70.59,10.59
19,2024-10-12,1156,pro,159.04,12.72
20,2024-04-08,1286,plus,374.93,48.74
21,2024-03-16,241,plus,161.11,20.94
22,2024-06-28,244,standard,173,25.95
23,2024-06-06,1458,plus,77.56,10.08
24,2024-06-18,1518,plus,122.79,15.96
25,2024-05-24,859,standard,28.21,4.23
26,2024-07-27,2768,standard,20.78,3.12
27,2024-06-04,2681,standard,137.48,20.62
28,2024-05-20,2816,standard,25.33,3.8
29,2024-10-12,2905,pro,185.02,14.8
30,2024-03-05,743,standard,375.36,56.3
31,2024-01-19,637,plus,100.09,13.01
32,2024-10-16,1536,pro,58,4.64
33,2024-04-21,883,standard,237.2,35.58
34,2024-10-12,611,standard,132.07,19.81
35,2024-08-26,553,standard,236.23,35.43
36,2024-03-27,2605,plus,368.92,47.96
37,2024-10-04,630,pro,275.15,22.01
38,2024-04-27,2714,plus,166.71,21.67
39,2024-05-04,266,standard,175.94,26.39
40,2024-03-14,1808,plus,72.52,9.43
41,2024-02-28,2563,plus,175.39,22.8
42,2024-01-07,1165,pro,205.56,24.67
43,2024-06-28,925,pro,147.82,17.74
44,2024-02-18,207,standard,23.77,3.57
45,2024-09-28,562,pro,374.22,29.94
46,2024-08-17,2753,plus,46.97,6.11
47,2024-09-17,2865,pro,31.03,2.48
48,2024-02-09,2179,pro,25.1,2.01
49,2024-01-31,2511,plus,82.05,10.67
50,2024-09-22,238,standard,36.04,5.41
51,2024-04-13,2086,standard,114.45,17.17
52,2024-04-11,308,standard,387.08,58.06
53,2024-10-13,1318,pro,52.49,4.2
54,2024-08-04,1149,standard,208.22,31.23
55,2024-06-09,507,plus,68.02,8.84
56,2024-06-21,2126,pro,46.61,3.73
57,2024-03-22,2943,plus,208.95,27.16
58,2024-01-03,950,standard,44.23,6.63
59,2024-05-24,1910,pro,42.05,3.36
60,2024-03-19,1409,standard,153.8,23.07
61,2024-05-07,2741,plus,158.51,20.61
62,2024-07-26,172,pro,20.61,2.47
63,2024-10-23,2252,standard,38.24,5.74
64,2024-06-21,1547,plus,174.35,22.67
65,2024-03-22,160,plus,121.56,15.8
66,2024-05-16,877,standard,32.15,4.82
67,2024-08-17,1763,standard,25.13,3.77
68,2024-05-15,1198,standard,31.33,4.7
69,2024-03-15,1596,standard,209.82,31.47
70,2024-05-21,2563,standard,212.58,31.89
71,2024-07-15,1008,pro,49.3,5.92
72,2024-07-07,221,plus,258.82,33.65
73,2024-08-17,954,plus,238.4,30.99
74,2024-10-17,372,standard,186.28,27.94
75,2024-04-08,829,standard,90.79,13.62
76,2024-10-16,615,standard,31.47,4.72
77,2024-06-08,199,plus,283.62,36.87
78,2024-07-12,1199,plus,199.15,25.89
79,2024-01-22,2837,standard,57.03,8.55
80,2024-07-26,1963,pro,28.9,2.31
81,2024-05-28,962,plus,120.28,15.64
82,2024-02-16,2081,standard,230.09,34.51
83,2024-06-28,1887,plus,69.39,9.02
84,2024-04-24,595,pro,135.06,10.8
85,2024-05-17,984,pro,219.47,17.56
86,2024-01-06,1952,pro,226.61,18.13
87,2024-10-10,1693,pro,57.73,4.62
88,2024-08-04,2470,standard,74.86,11.23
89,2024-07-03,2950,standard,32.18,4.83
90,2024-08-16,1644,pro,191.9,15.35
91,2024-10-18,1517,standard,132.67,19.9
92,2024-05-02,507,pro,31.02,2.48
93,2024-06-05,2011,standard,259.56,38.93
94,2024-02-21,1733,standard,78.38,11.76
95,2024-10-18,1599,pro,305.82,24.47
96,2024-08-23,2845,pro,96,7.68
97,2024-04-01,39,standard,44.07,6.61
98,2024-10-07,2584,pro,115.15,9.21
99,2024-04-16,747,plus,343.76,44.69
100,2024-10-22,1275,standard,39.96,5.99
101,2024-01-14,2411,standard,25,3.75
102,2024-01-07,2725,standard,51.37,7.71
103,2024-06-15,2264,standard,71.22,10.68
104,2024-08-02,818,plus,75.34,9.79
105,2024-08-02,1869,pro,24.13,1.93
106,2024-07-07,1382,plus,269.19,34.99
107,2024-05-25,136,plus,51.65,6.71
108,2024-10-23,1191,standard,157.29,23.59
109,2024-01-12,2761,plus,79.09,10.28
110,2024-05-31,2806,pro,66.06,5.28
111,2024-03-22,2137,plus,23.5,3.06
112,2024-04-15,1646,pro,90.64,7.25
113,2024-03-05,1693,plus,30.11,3.91
114,2024-01-04,2742,pro,88.21,7.06
115,2024-01-21,299,standard,25.65,3.85
116,2024-05-31,2409,plus,304.62,39.6
117,2024-04-13,408,pro,47.84,3.83
118,2024-03-15,1150,plus,22.78,2.96
119,2024-02-21,892,plus,48.59,6.32
120,2024-04-07,710,pro,319.97,25.6
121,2024-10-17,1422,plus,124.22,16.15
122,2024-10-22,2040,pro,253.85,20.31
123,2024-08-12,1861,standard,49.2,7.38
124,2024-07-13,1135,pro,83.63,6.69
125,2024-02-06,724,plus,31.1,4.04
126,2024-04-26,1026,plus,45.92,5.97
127,2024-09-24,1363,pro,66.39,7.97
128,2024-05-03,789,plus,69.32,9.01
129,2024-08-24,1591,pro,63.35,5.07
130,2024-07-31,966,plus,35.51,4.62
131,2024-09-12,1859,standard,26.5,3.97
132,2024-10-06,497,pro,359.48,28.76
133,2024-07-05,2297,pro,34.55,2.76
134,2024-04-22,782,plus,42.16,5.48
135,2024-06-22,1903,pro,288.18,23.05
136,2024-05-14,1032,standard,56.43,8.46
137,2024-04-15,1280,plus,375.96,48.87
138,2024-03-13,2347,standard,121.63,18.24
139,2024-10-25,1571,pro,95.83,7.67
140,2024-03-08,1107,plus,26.39,3.43
141,2024-03-25,1061,standard,46.31,6.95
142,2024-09-24,11,pro,311.88,24.95
143,2024-07-06,189,pro,261.48,20.92
144,2024-09-01,2608,pro,21.88,1.75
145,2024-07-25,1955,pro,39.2,3.14
146,2024-03-07,2164,standard,23.73,3.56
147,2024-05-17,1790,pro,40.09,4.81
148,2024-03-21,2309,plus,132.4,17.21
149,2024-02-12,1370,plus,21.75,2.83
150,2024-08-29,2911,pro,20.36,1.63
151,2024-03-05,2464,standard,32.93,4.94
152,2024-05-18,1050,standard,203.44,30.52
153,2024-10-24,261,plus,197.49,25.67
154,2024-07-02,2748,standard,31.55,4.73
155,2024-04-28,533,plus,222.65,28.94
156,2024-08-08,2114,pro,226.3,18.1
157,2024-06-15,999,plus,73.76,9.59
158,2024-03-02,827,plus,52.58,6.84
159,2024-07-30,2213,plus,168.2,21.87
160,2024-06-11,1284,standard,28.42,4.26
161,2024-08-13,2745,pro,229.3,27.52
162,2024-05-26,2175,standard,41.15,6.17
163,2024-09-13,2188,plus,23.87,3.1
164,2024-09-18,1821,standard,106.08,15.91
165,2024-03-09,1088,plus,45.81,5.96
166,2024-05-26,2988,plus,20.33,2.64
167,2024-08-15,276,standard,222.37,33.36
168,2024-06-12,1343,pro,26.57,2.13
169,2024-02-29,2518,plus,212.94,27.68
170,2024-10-06,1838,pro,89.73,10.77
171,2024-06-29,2093,pro,26.7,3.2
172,2024-07-27,334,standard,28.67,4.3
173,2024-06-18,2024,pro,20.88,1.67
174,2024-05-26,1424,plus,33.33,4.33
175,2024-04-21,405,plus,311.75,40.53
176,2024-01-13,1779,standard,145.98,21.9
177,2024-01-13,1854,plus,172.1,22.37
178,2024-10-10,2211,standard,325.63,48.84
179,2024-08-21,568,standard,38.22,5.73
180,2024-08-13,2153,standard,76.94,11.54
181,2024-04-08,258,pro,29.22,2.34
182,2024-08-04,2074,pro,102.7,12.32
183,2024-07-16,1253,pro,133.92,10.71
184,2024-10-21,1745,plus,66.29,8.62
185,2024-06-15,2728,pro,97.28,7.78
186,2024-05-17,1802,standard,27.93,4.19
187,2024-04-08,1361,standard,32.94,4.94
188,2024-05-11,61,standard,28.88,4.33
189,2024-06-28,1064,pro,78.46,6.28
190,2024-07-10,2079,plus,68.06,8.85
191,2024-05-12,2800,plus,31.44,4.09
192,2024-06-06,2781,plus,146.76,19.08
193,2024-10-05,1289,pro,149.27,11.94
194,2024-04-23,2289,pro,381.77,30.54
195,2024-03-29,555,standard,46.27,6.94
196,2024-09-23,1503,standard,120.1,18.01
197,2024-01-22,2227,standard,233.7,35.06
198,2024-10-18,268,pro,106.19,8.5
199,2024-08-02,219,standard,125,18.75
200,2024-05-24,2278,standard,26.27,3.94
201,2024-10-17,1275,standard,61.06,9.16
202,2024-07-31,1850,plus,108.05,14.05
203,2024-09-24,1897,standard,44.9,6.74
204,2024-05-06,2638,plus,258.12,33.56
205,2024-07-13,2680,pro,34.83,2.79
206,2024-02-08,1826,plus,323.66,42.08
207,2024-09-10,1179,standard,29.42,4.41
208,2024-03-22,633,standard,25.78,3.87
209,2024-02-03,1361,plus,50.73,6.59
210,2024-08-06,672,pro,24.09,1.93
211,2024-04-22,1571,standard,23.45,3.52
212,2024-06-12,92,plus,249.86,32.48
213,2024-04-11,68,standard,33.09,4.96
214,2024-07-21,2151,standard,59.45,8.92
215,2024-07-12,587,plus,145.4,18.9
216,2024-05-26,1093,standard,73.49,11.02
217,2024-08-06,1444,standard,22.24,3.34
218,2024-03-12,656,pro,232.4,27.89
219,2024-08-24,2404,standard,224.35,33.65
220,2024-06-11,1393,pro,111.28,8.9
221,2024-05-27,1255,pro,314.56,25.16
222,2024-09-05,900,pro,33.36,2.67
223,2024-03-05,2762,standard,39.52,5.93
224,2024-10-19,2279,plus,180.89,23.52
225,2024-08-10,871,plus,28.4,3.69
226,2024-09-21,2305,pro,132.12,10.57
227,2024-05-12,519,standard,25.61,3.84
228,2024-06-23,1094,plus,30.1,3.91
229,2024-04-04,767,standard,202.38,30.36
230,2024-01-20,1220,standard,310.29,46.54
231,2024-07-09,1053,standard,50.05,7.51
232,2024-05-29,1408,standard,130.05,19.51
233,2024-06-23,601,pro,20.92,1.67
